epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.954,1.90632,2.55723,1.37754,0.57119,0.58594,0.5652,0.23061,1.93361,2.54004,1.55826,0.000664021,0.000664021,0.000664021
2,243.857,1.86848,1.7643,1.43418,0.59341,0.5375,0.52559,0.20745,1.94968,2.28311,1.6134,0.00130434,0.00130434,0.00130434
3,307.902,1.86278,1.52381,1.44548,0.61099,0.5625,0.59242,0.27853,1.86603,1.65918,1.49018,0.00191826,0.00191826,0.00191826
4,370.732,1.81457,1.42367,1.4234,0.67144,0.68971,0.69596,0.32866,1.74335,1.3988,1.43784,0.0018812,0.0018812,0.0018812
5,432.032,1.73557,1.32018,1.3627,0.72098,0.6258,0.65681,0.30832,1.79209,1.60082,1.46363,0.0018416,0.0018416,0.0018416
6,497.404,1.70525,1.2618,1.35243,0.70193,0.68594,0.70661,0.31128,1.86303,1.39697,1.50941,0.001802,0.001802,0.001802
7,557.457,1.68729,1.22215,1.33846,0.80463,0.67969,0.78126,0.39539,1.71539,1.24776,1.44581,0.0017624,0.0017624,0.0017624
8,617.446,1.69289,1.18116,1.35769,0.84153,0.74531,0.8276,0.41444,1.72976,1.20304,1.46196,0.0017228,0.0017228,0.0017228
9,675.818,1.66256,1.12835,1.33687,0.8086,0.74844,0.80174,0.39762,1.72228,1.17793,1.48707,0.0016832,0.0016832,0.0016832
10,736.815,1.64609,1.13518,1.33347,0.76224,0.73906,0.79728,0.40963,1.67754,1.28381,1.41578,0.0016436,0.0016436,0.0016436
11,798.502,1.61633,1.10096,1.29148,0.87196,0.76616,0.8411,0.42844,1.73755,1.14727,1.43879,0.001604,0.001604,0.001604
12,857.781,1.61203,1.061,1.30242,0.84622,0.7875,0.85769,0.42561,1.78167,1.11528,1.45391,0.0015644,0.0015644,0.0015644
13,918.438,1.60083,1.08509,1.30269,0.86639,0.7625,0.85706,0.45546,1.59709,1.09831,1.35212,0.0015248,0.0015248,0.0015248
14,979.836,1.56494,1.02808,1.28186,0.8932,0.79714,0.86583,0.44557,1.67004,1.04887,1.41232,0.0014852,0.0014852,0.0014852
15,1061.68,1.55632,1.02608,1.28867,0.86409,0.79063,0.8532,0.4583,1.61937,1.05123,1.39195,0.0014456,0.0014456,0.0014456
16,1147.93,1.55471,0.97952,1.26373,0.87094,0.80156,0.86332,0.45051,1.64276,1.0159,1.41715,0.001406,0.001406,0.001406
17,1226.12,1.53644,1.00067,1.255,0.92461,0.80625,0.88987,0.47618,1.62459,0.99719,1.36406,0.0013664,0.0013664,0.0013664
18,1313.13,1.53862,0.99229,1.2564,0.86496,0.78063,0.86675,0.44668,1.63838,1.03857,1.39758,0.0013268,0.0013268,0.0013268
19,1406.14,1.50934,0.94169,1.24294,0.88435,0.80051,0.87583,0.46543,1.60825,0.97183,1.39955,0.0012872,0.0012872,0.0012872
20,1490.71,1.49596,0.92226,1.23107,0.87435,0.81549,0.87911,0.47161,1.57625,0.97527,1.3616,0.0012476,0.0012476,0.0012476
21,1569.79,1.49429,0.92542,1.22931,0.88559,0.80781,0.88478,0.48329,1.57673,0.97393,1.35782,0.001208,0.001208,0.001208
