epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0851,1.91588,2.55385,1.39198,0.58398,0.50625,0.5215,0.19184,2.04795,2.38362,1.61064,0.000664021,0.000664021,0.000664021
2,122.244,1.83057,1.73666,1.4351,0.43315,0.5528,0.47388,0.21368,1.909,1.91121,1.58385,0.00130434,0.00130434,0.00130434
3,182.484,1.85421,1.49674,1.44361,0.59767,0.62671,0.65042,0.28222,1.87307,1.5783,1.55211,0.00191826,0.00191826,0.00191826
4,242.821,1.80558,1.38539,1.41791,0.73151,0.68114,0.73336,0.31684,1.89831,1.43962,1.58157,0.0018812,0.0018812,0.0018812
5,301.735,1.73968,1.28155,1.39436,0.76222,0.70937,0.71854,0.35005,1.74636,1.35035,1.46012,0.0018416,0.0018416,0.0018416
6,362.303,1.68146,1.23178,1.34149,0.76791,0.74375,0.78415,0.35977,1.80889,1.30863,1.48869,0.001802,0.001802,0.001802
7,422.563,1.671,1.17802,1.35634,0.79656,0.71719,0.7935,0.38664,1.80077,1.22309,1.50618,0.0017624,0.0017624,0.0017624
8,483.028,1.66239,1.15794,1.33946,0.82279,0.73272,0.81015,0.42259,1.70938,1.1798,1.46628,0.0017228,0.0017228,0.0017228
9,543.152,1.64095,1.11008,1.34109,0.76219,0.75,0.82244,0.39304,1.7222,1.18484,1.47545,0.0016832,0.0016832,0.0016832
10,603.691,1.6516,1.13897,1.33637,0.82054,0.76094,0.83926,0.423,1.62914,1.20818,1.39772,0.0016436,0.0016436,0.0016436
11,663.696,1.60012,1.09856,1.29617,0.83752,0.76514,0.84661,0.43014,1.70673,1.0837,1.43954,0.001604,0.001604,0.001604
12,723.928,1.56756,1.04802,1.28542,0.85741,0.78906,0.85635,0.44589,1.65898,1.15084,1.4239,0.0015644,0.0015644,0.0015644
13,781.503,1.57952,1.06453,1.30218,0.85569,0.78594,0.85634,0.45193,1.60595,1.07757,1.39492,0.0015248,0.0015248,0.0015248
14,840.834,1.56544,1.01922,1.28436,0.84217,0.82344,0.87488,0.45482,1.61493,1.03055,1.40436,0.0014852,0.0014852,0.0014852
15,900.219,1.54324,1.00316,1.27355,0.90435,0.79219,0.87533,0.46144,1.61259,1.00949,1.39202,0.0014456,0.0014456,0.0014456
16,959.785,1.52322,0.95649,1.25413,0.85399,0.79688,0.86242,0.45628,1.6476,0.99612,1.41458,0.001406,0.001406,0.001406
17,1019.31,1.53064,0.99008,1.2605,0.89353,0.79992,0.86072,0.44194,1.72023,1.0466,1.36937,0.0013664,0.0013664,0.0013664
18,1078.68,1.55519,0.99526,1.26367,0.84971,0.76854,0.86151,0.45014,1.60545,1.0386,1.36666,0.0013268,0.0013268,0.0013268
19,1138.41,1.50871,0.94801,1.24483,0.83324,0.8125,0.88122,0.45343,1.66611,1.0143,1.39657,0.0012872,0.0012872,0.0012872
20,1198.18,1.49004,0.92835,1.22318,0.89963,0.79831,0.87395,0.45527,1.59207,1.08031,1.35612,0.0012476,0.0012476,0.0012476
21,1259.01,1.4716,0.9112,1.21935,0.91186,0.80156,0.89481,0.50064,1.53855,0.91018,1.33243,0.001208,0.001208,0.001208
22,1317.02,1.45923,0.91177,1.22402,0.89788,0.82426,0.90058,0.51951,1.48655,0.91917,1.32902,0.0011684,0.0011684,0.0011684
23,1376.88,1.45829,0.88594,1.22041,0.89715,0.80413,0.88698,0.48233,1.54345,0.92947,1.33911,0.0011288,0.0011288,0.0011288
24,1436.42,1.45819,0.88137,1.21419,0.89506,0.82031,0.88649,0.49381,1.54351,0.93792,1.34653,0.0010892,0.0010892,0.0010892
25,1495.65,1.45699,0.88733,1.21028,0.89053,0.82031,0.89469,0.49602,1.52941,0.92064,1.31602,0.0010496,0.0010496,0.0010496
26,1555.25,1.46017,0.87829,1.21205,0.91326,0.81719,0.90306,0.50799,1.49537,0.88779,1.32667,0.00101,0.00101,0.00101
27,1614.76,1.42803,0.85153,1.18946,0.9158,0.83281,0.91406,0.52119,1.49919,0.87315,1.31747,0.0009704,0.0009704,0.0009704
28,1674.64,1.41238,0.84276,1.19633,0.9256,0.80156,0.90138,0.49749,1.56833,0.89388,1.32296,0.0009308,0.0009308,0.0009308
29,1734.15,1.41354,0.85078,1.19865,0.9213,0.81406,0.91116,0.51319,1.52995,0.89451,1.32853,0.0008912,0.0008912,0.0008912
30,1793.81,1.38712,0.81533,1.18609,0.91908,0.82969,0.91035,0.50413,1.51939,0.89033,1.32075,0.0008516,0.0008516,0.0008516
31,1853.41,1.38726,0.80791,1.18396,0.9031,0.81546,0.90517,0.49962,1.53976,0.86214,1.32865,0.000812,0.000812,0.000812
32,1912.97,1.35822,0.79259,1.17013,0.91907,0.82812,0.91403,0.52491,1.48942,0.83975,1.31227,0.0007724,0.0007724,0.0007724
33,1972.35,1.3493,0.77921,1.16335,0.91823,0.80717,0.90714,0.51454,1.5292,0.86111,1.32887,0.0007328,0.0007328,0.0007328
34,2031.84,1.35422,0.79661,1.16564,0.91937,0.83733,0.92204,0.5423,1.42697,0.85558,1.28892,0.0006932,0.0006932,0.0006932
35,2091.22,1.34661,0.78378,1.15848,0.91175,0.83945,0.91166,0.53137,1.48101,0.84301,1.30905,0.0006536,0.0006536,0.0006536
36,2150.66,1.35578,0.78106,1.18058,0.93022,0.83315,0.91093,0.52769,1.48403,0.80904,1.30587,0.000614,0.000614,0.000614
37,2210.21,1.3255,0.77921,1.16413,0.9066,0.83281,0.90589,0.52073,1.4841,0.83467,1.28578,0.0005744,0.0005744,0.0005744
38,2269.68,1.33028,0.76749,1.16493,0.92641,0.84587,0.91899,0.54083,1.45618,0.79064,1.2727,0.0005348,0.0005348,0.0005348
39,2329.18,1.32603,0.74358,1.15658,0.93693,0.8375,0.92213,0.543,1.44241,0.80375,1.27301,0.0004952,0.0004952,0.0004952
40,2388.55,1.3123,0.74666,1.14193,0.92369,0.83216,0.9145,0.54203,1.45844,0.82051,1.29847,0.0004556,0.0004556,0.0004556
41,2444.65,1.27799,0.73109,1.20181,0.92798,0.84062,0.92222,0.54123,1.43316,0.81233,1.28233,0.000416,0.000416,0.000416
42,2500.74,1.26225,0.71215,1.18547,0.91982,0.85156,0.93246,0.54755,1.43798,0.78848,1.29125,0.0003764,0.0003764,0.0003764
43,2556.99,1.23721,0.70741,1.18104,0.93403,0.82969,0.92546,0.55134,1.44627,0.79067,1.28455,0.0003368,0.0003368,0.0003368
44,2613.17,1.2352,0.68186,1.16416,0.92508,0.82969,0.91628,0.54193,1.44542,0.80209,1.28792,0.0002972,0.0002972,0.0002972
45,2669.87,1.2257,0.68333,1.15936,0.93287,0.84681,0.93556,0.56499,1.39667,0.77128,1.2577,0.0002576,0.0002576,0.0002576
46,2725.68,1.22538,0.68305,1.1629,0.90907,0.85916,0.93367,0.55219,1.43248,0.75675,1.28473,0.000218,0.000218,0.000218
47,2781.96,1.20451,0.66567,1.15724,0.9084,0.85222,0.93169,0.56333,1.39796,0.78513,1.26286,0.0001784,0.0001784,0.0001784
48,2837.83,1.1956,0.65676,1.1462,0.92599,0.86016,0.9412,0.56659,1.40636,0.7455,1.26805,0.0001388,0.0001388,0.0001388
49,2893.81,1.18677,0.65117,1.15034,0.92042,0.8625,0.94032,0.56975,1.3943,0.74246,1.26049,9.92e-05,9.92e-05,9.92e-05
