epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.475,1.7385,2.22839,1.31306,0.40716,0.30556,0.26596,0.08335,2.11584,12.5616,1.35074,0.000664835,0.000664835,0.000664835
2,187.772,1.74344,1.49825,1.33289,0.76445,0.50926,0.55568,0.21821,2.08185,5.59827,1.31415,0.00130514,0.00130514,0.00130514
3,264.565,1.69499,1.28422,1.32756,0.61311,0.48148,0.50747,0.2168,1.85162,6.56381,1.2677,0.00191904,0.00191904,0.00191904
4,342.034,1.67385,1.21503,1.3224,0.54026,0.46296,0.47628,0.21259,1.83962,2.30972,1.3478,0.0018812,0.0018812,0.0018812
5,417.526,1.60252,1.12566,1.29117,0.73422,0.5463,0.65989,0.23837,1.90846,1.59287,1.28366,0.0018416,0.0018416,0.0018416
6,493.217,1.59648,1.0668,1.268,0.79108,0.59606,0.67524,0.26436,1.898,1.79616,1.2967,0.001802,0.001802,0.001802
7,570.322,1.54135,1.03143,1.24539,0.81378,0.50926,0.57036,0.23226,1.92199,1.79452,1.33286,0.0017624,0.0017624,0.0017624
8,648.772,1.54463,0.99605,1.25524,0.76486,0.59259,0.63398,0.27976,1.78834,1.70749,1.25704,0.0017228,0.0017228,0.0017228
9,726.1,1.51827,0.98033,1.21785,0.7974,0.57407,0.70532,0.28649,1.86638,1.50044,1.21255,0.0016832,0.0016832,0.0016832
10,803.364,1.50343,0.95943,1.21593,0.74809,0.58333,0.66914,0.26337,1.93721,1.61719,1.22146,0.0016436,0.0016436,0.0016436
11,881.034,1.49204,0.93502,1.21558,0.69668,0.63889,0.69751,0.29732,1.93329,1.62248,1.28179,0.001604,0.001604,0.001604
12,958.749,1.48506,0.91921,1.19926,0.81473,0.62963,0.75541,0.30692,1.97634,1.3893,1.26454,0.0015644,0.0015644,0.0015644
13,1036.78,1.461,0.88858,1.19586,0.75619,0.64815,0.71941,0.31931,1.71676,1.46829,1.20603,0.0015248,0.0015248,0.0015248
14,1114.73,1.45394,0.88791,1.19975,0.72678,0.64815,0.70679,0.30987,1.81753,1.33996,1.2508,0.0014852,0.0014852,0.0014852
15,1192.16,1.43026,0.85132,1.17633,0.81616,0.64815,0.73391,0.28109,1.93622,1.42296,1.23718,0.0014456,0.0014456,0.0014456
16,1270.18,1.43503,0.84516,1.17954,0.83625,0.62963,0.70879,0.31167,1.848,1.40864,1.2404,0.001406,0.001406,0.001406
17,1347.29,1.41719,0.83899,1.18255,0.82029,0.69444,0.78427,0.31698,1.70859,1.18322,1.15516,0.0013664,0.0013664,0.0013664
18,1424.95,1.41015,0.83775,1.16634,0.85879,0.62037,0.6943,0.30662,1.8553,1.21968,1.27981,0.0013268,0.0013268,0.0013268
19,1503.24,1.38208,0.81141,1.16346,0.88317,0.59259,0.71189,0.26744,2.02742,1.63776,1.27704,0.0012872,0.0012872,0.0012872
20,1580.89,1.38222,0.80399,1.16158,0.8144,0.62963,0.71646,0.30539,1.9082,1.31389,1.24686,0.0012476,0.0012476,0.0012476
21,1658.35,1.37147,0.7964,1.15827,0.79643,0.65206,0.7367,0.3226,1.8159,1.38118,1.21607,0.001208,0.001208,0.001208
22,1736.63,1.36213,0.77785,1.15789,0.88452,0.62963,0.78541,0.33993,1.76141,1.55083,1.19094,0.0011684,0.0011684,0.0011684
23,1812.55,1.37377,0.7755,1.16516,0.86058,0.58333,0.73563,0.34794,1.63141,1.29222,1.17489,0.0011288,0.0011288,0.0011288
