epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0525,1.75241,2.21691,1.29266,0.67419,0.42593,0.44565,0.17332,1.93282,9.74581,1.2746,0.000664835,0.000664835,0.000664835
2,159.002,1.72002,1.47223,1.31153,0.55069,0.42593,0.44078,0.16131,1.83716,2.71656,1.29805,0.00130514,0.00130514,0.00130514
3,237.619,1.67619,1.26314,1.29038,0.62924,0.33333,0.36314,0.15593,2.14178,9.13832,1.41928,0.00191904,0.00191904,0.00191904
4,317.859,1.64863,1.19851,1.30226,0.70919,0.5463,0.63708,0.26212,2.0429,2.16169,1.3783,0.0018812,0.0018812,0.0018812
5,393.463,1.59274,1.1082,1.26698,0.60545,0.5463,0.55067,0.15565,2.17203,2.12139,1.29948,0.0018416,0.0018416,0.0018416
6,471.14,1.5585,1.05624,1.24,0.72409,0.58333,0.68614,0.26973,1.81393,1.86002,1.23141,0.001802,0.001802,0.001802
7,549.026,1.52218,1.02589,1.23345,0.78511,0.5751,0.67398,0.28254,1.85506,1.76668,1.24586,0.0017624,0.0017624,0.0017624
8,626.973,1.5464,1.00536,1.23719,0.72685,0.56481,0.68413,0.29068,1.77725,1.48719,1.26297,0.0017228,0.0017228,0.0017228
9,705.002,1.50423,0.99641,1.20957,0.7085,0.63016,0.72144,0.32413,1.79687,1.79448,1.2589,0.0016832,0.0016832,0.0016832
10,782.822,1.47657,0.96028,1.2057,0.71883,0.66667,0.734,0.29481,1.85609,1.71484,1.24221,0.0016436,0.0016436,0.0016436
11,860.563,1.48266,0.93142,1.20789,0.74422,0.56481,0.68948,0.29175,1.74753,1.44398,1.22367,0.001604,0.001604,0.001604
12,938.227,1.46763,0.90368,1.18413,0.82422,0.62963,0.73135,0.29215,1.93933,1.66079,1.27788,0.0015644,0.0015644,0.0015644
13,1015.95,1.44606,0.89281,1.17412,0.75391,0.61111,0.69475,0.32364,1.71376,1.60121,1.22227,0.0015248,0.0015248,0.0015248
14,1091.78,1.43444,0.85934,1.17762,0.8523,0.59259,0.75093,0.3323,1.82538,1.31535,1.21707,0.0014852,0.0014852,0.0014852
15,1167.83,1.41785,0.84426,1.16308,0.82993,0.62037,0.74238,0.31124,1.87045,1.47356,1.23555,0.0014456,0.0014456,0.0014456
16,1243.81,1.41196,0.83481,1.15978,0.76716,0.64067,0.72348,0.33396,1.81496,1.49301,1.26496,0.001406,0.001406,0.001406
17,1321.41,1.41952,0.84414,1.17826,0.8293,0.60185,0.71958,0.32253,1.66929,1.25108,1.20207,0.0013664,0.0013664,0.0013664
18,1399.09,1.42051,0.83196,1.16821,0.86483,0.60185,0.76987,0.32653,1.93037,1.5352,1.22074,0.0013268,0.0013268,0.0013268
19,1476.82,1.36658,0.79621,1.14373,0.74125,0.62037,0.7139,0.29033,1.91137,1.95279,1.22633,0.0012872,0.0012872,0.0012872
20,1554.79,1.3638,0.79985,1.14712,0.8306,0.63561,0.76081,0.34639,1.72416,1.45559,1.19147,0.0012476,0.0012476,0.0012476
21,1632.62,1.36223,0.78112,1.13947,0.89053,0.60262,0.76246,0.31863,1.75546,1.33259,1.19704,0.001208,0.001208,0.001208
22,1710.61,1.36534,0.7627,1.14215,0.83087,0.68233,0.77559,0.34267,1.71186,1.47442,1.18255,0.0011684,0.0011684,0.0011684
23,1788.78,1.36453,0.77528,1.15615,0.86456,0.62963,0.76784,0.35688,1.63887,1.13358,1.15014,0.0011288,0.0011288,0.0011288
24,1866.26,1.35193,0.76944,1.14383,0.84023,0.62963,0.76966,0.34977,1.73825,1.31335,1.1734,0.0010892,0.0010892,0.0010892
25,1944.17,1.32472,0.7454,1.13173,0.75774,0.64815,0.75995,0.3465,1.72631,1.3498,1.16751,0.0010496,0.0010496,0.0010496
26,2022.59,1.33124,0.75767,1.13185,0.80213,0.62037,0.77875,0.35723,1.70016,1.34055,1.16317,0.00101,0.00101,0.00101
27,2100.9,1.30887,0.73323,1.11764,0.86193,0.65741,0.79176,0.34713,1.74011,1.32844,1.18848,0.0009704,0.0009704,0.0009704
28,2176.68,1.31274,0.7309,1.11608,0.81675,0.66032,0.77315,0.37272,1.76368,1.3631,1.17986,0.0009308,0.0009308,0.0009308
29,2254.39,1.33531,0.74416,1.11972,0.8772,0.65741,0.81288,0.37357,1.76269,1.49384,1.13243,0.0008912,0.0008912,0.0008912
30,2332.53,1.30076,0.72394,1.11907,0.86928,0.69444,0.80359,0.38645,1.66182,1.23634,1.15982,0.0008516,0.0008516,0.0008516
31,2410.16,1.31032,0.71933,1.12375,0.89076,0.60402,0.78695,0.37007,1.76697,1.21864,1.1602,0.000812,0.000812,0.000812
32,2487.98,1.28819,0.71557,1.11362,0.88358,0.7037,0.82645,0.37302,1.62888,1.16823,1.14212,0.0007724,0.0007724,0.0007724
33,2565.73,1.28856,0.7137,1.1076,0.84413,0.6519,0.78393,0.38715,1.80065,1.34293,1.18754,0.0007328,0.0007328,0.0007328
34,2643.72,1.27901,0.70223,1.10845,0.90324,0.66667,0.79733,0.36837,1.74677,1.18925,1.16607,0.0006932,0.0006932,0.0006932
