epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6531,2.14878,3.0587,1.85036,0.2968,0.37052,0.23032,0.10045,2.15891,4.81189,1.92722,0.000663522,0.000663522,0.000663522
2,125.264,2.19545,2.6628,1.88826,0.36199,0.22908,0.22311,0.09497,2.46594,3.42964,2.13061,0.00130385,0.00130385,0.00130385
3,183.961,2.21168,2.43694,1.91461,0.56853,0.41734,0.41436,0.21707,2.06096,2.45334,1.75856,0.00191778,0.00191778,0.00191778
4,242.912,2.14692,2.33086,1.81376,0.53851,0.48008,0.45328,0.23511,1.98211,2.1345,1.74182,0.0018812,0.0018812,0.0018812
5,302.022,2.12661,2.31467,1.83076,0.56551,0.45892,0.44501,0.26287,1.89065,2.25182,1.7178,0.0018416,0.0018416,0.0018416
6,363.328,1.97721,2.15861,1.74917,0.74561,0.58765,0.61167,0.36345,1.78955,1.75746,1.51056,0.001802,0.001802,0.001802
7,420.812,1.97816,2.12919,1.73397,0.70315,0.62151,0.61619,0.37444,1.71888,1.70206,1.54265,0.0017624,0.0017624,0.0017624
8,479.91,1.8809,2.01116,1.66907,0.78726,0.55288,0.61805,0.37361,1.81526,1.78705,1.61758,0.0017228,0.0017228,0.0017228
9,537.067,1.90688,2.00855,1.68702,0.75961,0.62316,0.66815,0.41465,1.65018,1.56372,1.48911,0.0016832,0.0016832,0.0016832
10,595.89,1.84324,1.94008,1.64499,0.8776,0.62749,0.70241,0.45124,1.5909,1.48259,1.45462,0.0016436,0.0016436,0.0016436
11,654.614,1.82256,1.89951,1.62,0.8361,0.60972,0.68678,0.42781,1.57149,1.56548,1.45388,0.001604,0.001604,0.001604
12,713.817,1.81287,1.90741,1.6421,0.79912,0.66564,0.72522,0.48417,1.47305,1.41667,1.40335,0.0015644,0.0015644,0.0015644
13,773.41,1.74049,1.80658,1.59686,0.86435,0.66002,0.73404,0.48387,1.47182,1.36819,1.40953,0.0015248,0.0015248,0.0015248
14,831.226,1.72533,1.78272,1.59537,0.82087,0.66638,0.75662,0.49283,1.47693,1.32962,1.40856,0.0014852,0.0014852,0.0014852
15,889.323,1.68639,1.73204,1.57182,0.86992,0.68127,0.75212,0.50425,1.40926,1.52399,1.39094,0.0014456,0.0014456,0.0014456
16,947.24,1.71441,1.77121,1.58462,0.88022,0.67337,0.77961,0.52067,1.39946,1.26405,1.33732,0.001406,0.001406,0.001406
17,1006.8,1.6984,1.7412,1.59079,0.88305,0.67686,0.77627,0.52447,1.43819,1.23482,1.37296,0.0013664,0.0013664,0.0013664
18,1066.28,1.65089,1.69338,1.53599,0.8796,0.69858,0.80099,0.51784,1.39173,1.23061,1.37665,0.0013268,0.0013268,0.0013268
19,1125.31,1.66089,1.75225,1.56447,0.92763,0.66932,0.80349,0.5312,1.35503,1.16735,1.33744,0.0012872,0.0012872,0.0012872
