epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9332,2.03679,2.87192,1.78465,0.38551,0.37649,0.28111,0.12549,2.14065,3.36502,1.96254,0.000663522,0.000663522,0.000663522
2,76.9698,2.07461,2.42384,1.80225,0.45404,0.41416,0.36417,0.18909,2.04206,2.40705,1.79584,0.00130385,0.00130385,0.00130385
3,111.481,2.08376,2.24121,1.8363,0.61702,0.48606,0.48731,0.26311,1.98743,2.25023,1.81951,0.00191778,0.00191778,0.00191778
4,148.341,2.01423,2.13449,1.78345,0.69958,0.52419,0.56458,0.33447,1.79287,1.84902,1.58439,0.0018812,0.0018812,0.0018812
5,202.218,1.97169,2.05149,1.73272,0.67171,0.56972,0.5726,0.34959,1.76278,1.98946,1.63028,0.0018416,0.0018416,0.0018416
6,266.132,1.8364,1.93708,1.64008,0.72136,0.57968,0.58451,0.33764,1.89356,1.84113,1.674,0.001802,0.001802,0.001802
7,317.561,1.90302,1.94,1.69517,0.66655,0.44622,0.45728,0.25762,2.06691,2.20693,1.76196,0.0017624,0.0017624,0.0017624
8,352.088,1.75774,1.7873,1.5884,0.79949,0.61158,0.69618,0.43076,1.6658,1.55274,1.56285,0.0017228,0.0017228,0.0017228
9,388.609,1.77649,1.74705,1.58249,0.80987,0.62749,0.70024,0.4401,1.58734,1.5327,1.42673,0.0016832,0.0016832,0.0016832
10,424.696,1.72251,1.72205,1.55307,0.87284,0.65635,0.74117,0.47134,1.56918,1.43587,1.47853,0.0016436,0.0016436,0.0016436
11,459.311,1.7233,1.68078,1.56305,0.91082,0.63068,0.74333,0.48115,1.55737,1.45446,1.48898,0.001604,0.001604,0.001604
12,494.056,1.67227,1.6576,1.55703,0.84374,0.64542,0.73398,0.47603,1.53246,1.34817,1.47464,0.0015644,0.0015644,0.0015644
13,529.661,1.62124,1.56199,1.49835,0.8737,0.68899,0.75868,0.51353,1.43657,1.24804,1.37962,0.0015248,0.0015248,0.0015248
14,566.202,1.62184,1.54703,1.49482,0.87973,0.65569,0.75719,0.50185,1.44633,1.33677,1.38247,0.0014852,0.0014852,0.0014852
15,600.696,1.57623,1.51553,1.46143,0.92558,0.6689,0.77505,0.52508,1.42054,1.24787,1.39505,0.0014456,0.0014456,0.0014456
16,635.567,1.5895,1.49387,1.48416,0.8254,0.68924,0.74478,0.50605,1.43052,1.27638,1.38376,0.001406,0.001406,0.001406
17,681.431,1.58289,1.50311,1.48698,0.881,0.69314,0.7781,0.52456,1.46281,1.20711,1.39367,0.0013664,0.0013664,0.0013664
18,717.957,1.5507,1.46504,1.45892,0.82014,0.69035,0.77796,0.52888,1.35944,1.18458,1.35438,0.0013268,0.0013268,0.0013268
19,752.195,1.5483,1.49531,1.47113,0.90165,0.70319,0.80675,0.56115,1.32919,1.10722,1.37042,0.0012872,0.0012872,0.0012872
20,787.269,1.53075,1.44194,1.42911,0.84441,0.73307,0.79561,0.53931,1.36268,1.11472,1.33334,0.0012476,0.0012476,0.0012476
21,822.479,1.52366,1.41805,1.42661,0.90237,0.7251,0.83748,0.56107,1.36731,1.04706,1.35474,0.001208,0.001208,0.001208
22,858.213,1.55024,1.45093,1.44129,0.93877,0.70916,0.82566,0.56848,1.32439,1.04408,1.32226,0.0011684,0.0011684,0.0011684
23,891.805,1.52805,1.41602,1.43226,0.91864,0.71713,0.83925,0.58249,1.32187,1.05731,1.31729,0.0011288,0.0011288,0.0011288
24,926.668,1.48921,1.38668,1.39653,0.91931,0.72623,0.83405,0.57966,1.28277,1.0138,1.27645,0.0010892,0.0010892,0.0010892
25,961.576,1.47463,1.38429,1.40046,0.90894,0.71912,0.84601,0.58018,1.2994,0.98967,1.3507,0.0010496,0.0010496,0.0010496
26,997.33,1.43182,1.34391,1.36982,0.90323,0.72709,0.83327,0.58785,1.2757,1.01253,1.28432,0.00101,0.00101,0.00101
27,1031.02,1.44213,1.33081,1.38473,0.95287,0.71912,0.83642,0.58533,1.25751,1.00595,1.2947,0.0009704,0.0009704,0.0009704
28,1065.4,1.43225,1.33452,1.3736,0.94431,0.7251,0.84963,0.58596,1.28561,1.00224,1.30232,0.0009308,0.0009308,0.0009308
29,1100.39,1.43159,1.31091,1.3548,0.93356,0.72779,0.84628,0.5854,1.28668,0.98896,1.28563,0.0008912,0.0008912,0.0008912
30,1136.25,1.4119,1.30914,1.36952,0.92797,0.73506,0.8466,0.59019,1.24554,0.96393,1.27376,0.0008516,0.0008516,0.0008516
31,1172.45,1.42263,1.29581,1.36688,0.9202,0.73108,0.84601,0.58878,1.27184,0.98805,1.27706,0.000812,0.000812,0.000812
32,1206.81,1.43583,1.30966,1.37157,0.917,0.74828,0.85932,0.59292,1.27029,0.95146,1.27662,0.0007724,0.0007724,0.0007724
33,1241.08,1.39409,1.26367,1.34539,0.95806,0.72112,0.8851,0.61774,1.21389,0.88884,1.2523,0.0007328,0.0007328,0.0007328
34,1276.12,1.38426,1.26679,1.35219,0.9571,0.7251,0.86455,0.60011,1.2629,0.94071,1.28989,0.0006932,0.0006932,0.0006932
