epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7554,2.26421,3.20094,1.97427,0.30736,0.19124,0.18036,0.08202,2.30407,3.83195,2.0273,0.000663522,0.000663522,0.000663522
2,95.7174,2.25085,2.73743,1.92667,0.38626,0.34064,0.26978,0.12187,2.2374,2.60919,1.97895,0.00130385,0.00130385,0.00130385
3,134.572,2.27151,2.56011,1.96396,0.41681,0.33665,0.25456,0.12459,2.23198,3.23122,2.0821,0.00191778,0.00191778,0.00191778
4,169.21,2.22697,2.47819,1.93491,0.59414,0.49801,0.49535,0.24194,1.90302,2.09275,1.70056,0.0018812,0.0018812,0.0018812
5,204.577,2.18495,2.43302,1.93924,0.66661,0.52789,0.55875,0.3177,1.77091,1.95445,1.64548,0.0018416,0.0018416,0.0018416
6,238.091,2.06652,2.30912,1.85472,0.74053,0.56285,0.62033,0.37375,1.76285,1.73025,1.61191,0.001802,0.001802,0.001802
7,270.858,2.11314,2.28874,1.83722,0.49095,0.38424,0.34732,0.17211,2.35677,2.47086,2.04404,0.0017624,0.0017624,0.0017624
8,305.858,2.01803,2.12471,1.76844,0.80089,0.50479,0.59839,0.34312,1.85352,1.72412,1.65,0.0017228,0.0017228,0.0017228
9,341.509,1.98472,2.09811,1.75638,0.7437,0.52191,0.57895,0.31983,1.8232,1.80791,1.60216,0.0016832,0.0016832,0.0016832
10,380.331,1.92868,2.0236,1.70074,0.7997,0.58854,0.6534,0.40224,1.71715,1.57532,1.59324,0.0016436,0.0016436,0.0016436
11,421.835,1.89797,1.99111,1.69337,0.90702,0.64128,0.72944,0.44028,1.60702,1.42244,1.50687,0.001604,0.001604,0.001604
12,463.826,1.90769,2.01025,1.71199,0.73219,0.6255,0.67818,0.43404,1.52356,1.45927,1.45792,0.0015644,0.0015644,0.0015644
13,502.122,1.83978,1.93392,1.66654,0.86836,0.65538,0.7177,0.46645,1.5219,1.41724,1.43181,0.0015248,0.0015248,0.0015248
14,538.72,1.80446,1.9206,1.66577,0.85161,0.60159,0.71059,0.45685,1.57049,1.37165,1.49851,0.0014852,0.0014852,0.0014852
