epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.478,1.96809,2.72423,1.70035,0.63146,0.5619,0.531,0.24643,1.60651,7.13938,1.41781,0.000664502,0.000664502,0.000664502
2,180.917,2.03957,2.29165,1.7332,0.57856,0.41905,0.503,0.30398,1.54028,6.19485,1.4,0.00130481,0.00130481,0.00130481
3,245.284,2.02821,2.12957,1.74413,0.68249,0.52381,0.54249,0.27417,1.41782,10.6386,1.34979,0.00191872,0.00191872,0.00191872
4,312.723,1.97563,2.05901,1.72086,0.77833,0.70224,0.78328,0.46999,1.22863,3.19415,1.21259,0.0018812,0.0018812,0.0018812
5,377.026,1.93484,1.99976,1.68064,0.81061,0.60952,0.68661,0.40951,1.27379,6.37329,1.24425,0.0018416,0.0018416,0.0018416
6,443.108,1.83798,1.88165,1.64438,0.80436,0.74398,0.83796,0.52173,1.20485,2.34416,1.13416,0.001802,0.001802,0.001802
7,509.737,1.80098,1.7799,1.5887,0.79668,0.70908,0.7772,0.51021,1.31393,6.50523,1.18348,0.0017624,0.0017624,0.0017624
8,576.049,1.77442,1.74317,1.58441,0.89893,0.72381,0.83336,0.48904,1.2254,3.93384,1.20009,0.0017228,0.0017228,0.0017228
9,642.515,1.74298,1.67342,1.56316,0.90779,0.73333,0.83964,0.52847,1.27984,1.89072,1.1243,0.0016832,0.0016832,0.0016832
10,706.564,1.71272,1.64777,1.52886,0.84885,0.80231,0.86744,0.56131,1.23645,1.76883,1.1936,0.0016436,0.0016436,0.0016436
11,771.092,1.66127,1.61912,1.51704,0.89791,0.83761,0.88944,0.59208,1.1182,3.96039,1.09439,0.001604,0.001604,0.001604
12,835.068,1.64292,1.57826,1.4967,0.85935,0.69524,0.79922,0.53182,1.28363,8.81935,1.22929,0.0015644,0.0015644,0.0015644
13,901.51,1.6292,1.56284,1.48239,0.87676,0.85714,0.89823,0.59863,1.16448,1.94419,1.14332,0.0015248,0.0015248,0.0015248
14,968.3,1.6229,1.58371,1.49112,0.9389,0.80952,0.90135,0.6213,1.01274,2.76366,1.10152,0.0014852,0.0014852,0.0014852
15,1034.88,1.59145,1.51154,1.47312,0.87021,0.80952,0.85924,0.58836,1.14301,1.49709,1.14128,0.0014456,0.0014456,0.0014456
16,1101.75,1.56942,1.48224,1.44694,0.83377,0.81207,0.85611,0.5859,1.13767,2.25647,1.21011,0.001406,0.001406,0.001406
17,1168.43,1.55229,1.45115,1.44328,0.86554,0.84762,0.89254,0.59196,1.09303,1.76771,1.05314,0.0013664,0.0013664,0.0013664
18,1232.58,1.5596,1.4364,1.44402,0.89491,0.81101,0.87993,0.60051,0.97411,1.99488,1.06156,0.0013268,0.0013268,0.0013268
19,1297.04,1.55392,1.42618,1.43464,0.9197,0.76352,0.85747,0.59084,1.01328,3.01764,1.02487,0.0012872,0.0012872,0.0012872
20,1361.31,1.50449,1.40068,1.40262,0.92001,0.76681,0.81352,0.55896,0.98842,2.87766,1.05809,0.0012476,0.0012476,0.0012476
21,1427.92,1.5033,1.36712,1.40431,0.8997,0.85429,0.87923,0.60361,1.01726,2.33483,1.07089,0.001208,0.001208,0.001208
22,1494.91,1.48012,1.35564,1.39601,0.94975,0.79048,0.86517,0.61171,0.97097,2.5625,1.05179,0.0011684,0.0011684,0.0011684
23,1562.76,1.50608,1.3818,1.41162,0.89987,0.85592,0.89469,0.62611,0.98808,1.64881,1.05977,0.0011288,0.0011288,0.0011288
24,1630.23,1.45947,1.33667,1.39277,0.88267,0.82857,0.896,0.6028,1.08683,1.66484,1.20647,0.0010892,0.0010892,0.0010892
25,1698.25,1.44387,1.33373,1.37931,0.90884,0.82857,0.90936,0.63214,1.14109,1.55277,1.15079,0.0010496,0.0010496,0.0010496
26,1765.71,1.48189,1.31483,1.40397,0.90475,0.8,0.86766,0.61668,1.1263,2.41372,1.18504,0.00101,0.00101,0.00101
27,1832.94,1.4069,1.2738,1.35695,0.92031,0.82857,0.90058,0.63935,1.09811,1.91184,1.13798,0.0009704,0.0009704,0.0009704
28,1899.54,1.42139,1.25242,1.35777,0.89686,0.88571,0.93443,0.63473,1.03969,0.96379,1.05238,0.0009308,0.0009308,0.0009308
29,1964.41,1.44035,1.2719,1.36929,0.85857,0.86721,0.89463,0.62503,1.0974,1.92647,1.16558,0.0008912,0.0008912,0.0008912
30,2031.45,1.42258,1.23997,1.3678,0.91411,0.84762,0.93277,0.64914,1.00404,1.27819,1.07201,0.0008516,0.0008516,0.0008516
31,2098.3,1.3999,1.23876,1.34036,0.8682,0.90476,0.91651,0.65971,0.86317,1.22428,1.00198,0.000812,0.000812,0.000812
32,2165.03,1.39243,1.22496,1.34666,0.95723,0.8,0.88388,0.63091,0.99544,1.46768,0.98775,0.0007724,0.0007724,0.0007724
33,2231.95,1.37372,1.22132,1.33888,0.92208,0.85714,0.91885,0.64487,1.00675,1.61183,1.05836,0.0007328,0.0007328,0.0007328
34,2298.8,1.38303,1.19456,1.3442,0.93755,0.87619,0.95441,0.67485,0.95207,0.92472,0.98295,0.0006932,0.0006932,0.0006932
35,2365.57,1.35415,1.18798,1.32926,0.91998,0.90476,0.92984,0.646,1.03581,1.39078,1.08975,0.0006536,0.0006536,0.0006536
36,2432.64,1.35087,1.18862,1.32797,0.93335,0.80022,0.90117,0.65739,0.9254,2.06657,1.04944,0.000614,0.000614,0.000614
37,2499.4,1.34298,1.15782,1.3201,0.88788,0.87619,0.93607,0.67056,0.98246,1.92615,1.05677,0.0005744,0.0005744,0.0005744
