epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6457,2.21023,3.05895,1.93336,0.43668,0.2381,0.19411,0.07218,1.67941,36.6338,1.53374,0.000664502,0.000664502,0.000664502
2,156.646,2.29223,2.65185,1.92774,0.62549,0.57143,0.58513,0.3235,1.19089,9.49662,1.09446,0.00130481,0.00130481,0.00130481
3,226.786,2.2802,2.47411,1.92111,0.55305,0.4,0.40946,0.15678,1.79661,3.38693,1.51701,0.00191872,0.00191872,0.00191872
4,299.052,2.17512,2.34372,1.84694,0.7818,0.54599,0.64631,0.38274,1.23469,6.00317,1.15725,0.0018812,0.0018812,0.0018812
5,365.92,2.07282,2.19644,1.77353,0.81129,0.65513,0.74282,0.42332,1.42425,2.27187,1.33363,0.0018416,0.0018416,0.0018416
6,432.38,2.06574,2.18003,1.76526,0.85098,0.70701,0.80082,0.49083,1.36394,4.54815,1.28283,0.001802,0.001802,0.001802
7,498.698,2.01937,2.07056,1.73483,0.82366,0.60952,0.70154,0.4318,1.35621,6.0083,1.31692,0.0017624,0.0017624,0.0017624
8,565.962,1.96601,2.03918,1.70904,0.87331,0.77143,0.85216,0.52474,1.12614,2.574,1.2137,0.0017228,0.0017228,0.0017228
9,632.968,1.92229,2.03505,1.69056,0.91572,0.65714,0.78449,0.47628,1.23846,6.22818,1.15164,0.0016832,0.0016832,0.0016832
10,699.283,1.88381,1.95304,1.65921,0.90035,0.77449,0.85358,0.54866,1.25305,4.91295,1.19623,0.0016436,0.0016436,0.0016436
11,767.613,1.82675,1.90336,1.62273,0.92292,0.68426,0.79214,0.50921,1.47484,6.87708,1.2688,0.001604,0.001604,0.001604
12,835.904,1.80994,1.86383,1.62303,0.81387,0.68571,0.79084,0.49664,1.18105,5.0823,1.07855,0.0015644,0.0015644,0.0015644
13,906.202,1.78981,1.82845,1.60663,0.87622,0.87639,0.91465,0.63348,1.00405,1.97573,1.04884,0.0015248,0.0015248,0.0015248
14,975.175,1.79503,1.86177,1.61821,0.83085,0.84762,0.8652,0.5845,1.29772,1.93609,1.16689,0.0014852,0.0014852,0.0014852
15,1044.02,1.79744,1.82064,1.60627,0.87235,0.78102,0.85081,0.57132,1.37225,1.56763,1.20317,0.0014456,0.0014456,0.0014456
16,1111.95,1.77674,1.79319,1.58718,0.88902,0.79048,0.85571,0.56463,1.22944,2.43648,1.2367,0.001406,0.001406,0.001406
17,1195.43,1.72,1.72807,1.5466,0.9122,0.78095,0.85195,0.59983,1.04241,1.74288,1.03254,0.0013664,0.0013664,0.0013664
18,1275.72,1.71619,1.70249,1.54557,0.85934,0.87619,0.87337,0.60281,1.21416,2.08725,1.19502,0.0013268,0.0013268,0.0013268
19,1357.54,1.71039,1.69322,1.53922,0.87172,0.77667,0.85584,0.5792,1.01001,1.57372,1.06066,0.0012872,0.0012872,0.0012872
20,1432.88,1.67435,1.68283,1.50868,0.91032,0.85714,0.90945,0.63487,1.06391,3.01713,1.07855,0.0012476,0.0012476,0.0012476
21,1511.81,1.6689,1.65904,1.51883,0.80876,0.79048,0.81107,0.55634,1.22054,2.42148,1.06477,0.001208,0.001208,0.001208
22,1589.91,1.60549,1.58046,1.47822,0.9318,0.78077,0.8806,0.61737,1.30704,2.47719,1.15267,0.0011684,0.0011684,0.0011684
23,1666.56,1.65846,1.65917,1.52327,0.81933,0.7619,0.78483,0.52775,1.22405,2.20841,1.14438,0.0011288,0.0011288,0.0011288
24,1754.96,1.5861,1.5905,1.47462,0.86549,0.89524,0.9313,0.63508,1.03791,1.32364,1.03456,0.0010892,0.0010892,0.0010892
25,1833.7,1.60979,1.58766,1.47653,0.90217,0.78095,0.88334,0.60556,1.0403,1.44313,0.95583,0.0010496,0.0010496,0.0010496
26,1911.1,1.61403,1.56995,1.48312,0.92523,0.82498,0.90364,0.64913,0.90367,1.26332,0.98069,0.00101,0.00101,0.00101
27,1980.87,1.55161,1.51786,1.43965,0.89285,0.85714,0.90825,0.62401,0.98011,1.85284,1.03902,0.0009704,0.0009704,0.0009704
28,2049.69,1.59206,1.52594,1.45791,0.90771,0.8381,0.91582,0.65643,0.93568,1.17056,0.96709,0.0009308,0.0009308,0.0009308
29,2117.35,1.60805,1.56124,1.46659,0.89826,0.84762,0.89827,0.61764,1.257,2.83291,1.13051,0.0008912,0.0008912,0.0008912
30,2184.14,1.582,1.52423,1.44953,0.9242,0.8381,0.90572,0.64313,0.9724,1.2628,1.01914,0.0008516,0.0008516,0.0008516
31,2251.48,1.54186,1.50342,1.43345,0.90574,0.85714,0.89812,0.64358,1.11522,1.22437,1.01776,0.000812,0.000812,0.000812
32,2318.7,1.55121,1.48209,1.43743,0.93991,0.89375,0.92211,0.63641,0.9237,1.29407,0.99552,0.0007724,0.0007724,0.0007724
33,2385.88,1.53313,1.47821,1.44149,0.89235,0.87619,0.89647,0.63754,0.94354,1.44252,1.02253,0.0007328,0.0007328,0.0007328
34,2452.59,1.54285,1.47891,1.44477,0.921,0.88821,0.92737,0.65908,0.97673,0.95559,1.00927,0.0006932,0.0006932,0.0006932
35,2517.71,1.49579,1.45616,1.42394,0.9312,0.86667,0.90486,0.64439,1.07065,1.19505,1.02867,0.0006536,0.0006536,0.0006536
36,2585.28,1.49458,1.45341,1.41596,0.92665,0.87619,0.91928,0.67941,0.95444,1.20146,0.99801,0.000614,0.000614,0.000614
37,2652.99,1.48333,1.44142,1.40921,0.89434,0.88678,0.91968,0.67916,0.97376,1.3932,1.00739,0.0005744,0.0005744,0.0005744
38,2719.93,1.46413,1.39366,1.38799,0.94193,0.86667,0.92872,0.67122,0.93058,1.0038,0.97001,0.0005348,0.0005348,0.0005348
39,2787.09,1.46396,1.38871,1.39289,0.91854,0.85913,0.92402,0.67661,0.96014,0.76926,0.94789,0.0004952,0.0004952,0.0004952
40,2859.1,1.46666,1.39276,1.38997,0.90334,0.89003,0.92853,0.67501,0.90824,1.27607,0.96412,0.0004556,0.0004556,0.0004556
41,2928.34,1.31317,1.17574,1.32273,0.93531,0.87619,0.92447,0.66788,0.90605,1.55679,0.95959,0.000416,0.000416,0.000416
42,2994.6,1.28176,1.09934,1.28594,0.94596,0.83366,0.92938,0.66486,0.88706,0.83159,0.93341,0.0003764,0.0003764,0.0003764
43,3059.97,1.28214,1.10277,1.29523,0.9248,0.85714,0.92487,0.66776,0.83474,0.83919,0.94543,0.0003368,0.0003368,0.0003368
44,3125.97,1.25643,1.06278,1.269,0.93457,0.88571,0.94494,0.67909,0.90293,0.72995,0.95308,0.0002972,0.0002972,0.0002972
45,3193.56,1.22549,1.03913,1.26519,0.92033,0.88011,0.93477,0.68348,0.91937,0.79903,0.98929,0.0002576,0.0002576,0.0002576
46,3261.57,1.22671,1.05686,1.27274,0.91913,0.87619,0.9314,0.6711,0.91066,0.96139,0.97118,0.000218,0.000218,0.000218
47,3323.94,1.19289,1.0012,1.24335,0.96568,0.85714,0.93254,0.67809,0.90808,0.80117,0.96449,0.0001784,0.0001784,0.0001784
48,3386.54,1.2191,1.01487,1.2424,0.93758,0.85834,0.94796,0.68075,0.9183,0.90237,0.9682,0.0001388,0.0001388,0.0001388
49,3449.15,1.18951,1.01518,1.24068,0.9259,0.87619,0.94457,0.67839,0.90225,0.85332,0.96577,9.92e-05,9.92e-05,9.92e-05
50,3511.01,1.17212,0.98828,1.22913,0.92037,0.86667,0.93909,0.68082,0.90169,0.83244,0.96348,5.96e-05,5.96e-05,5.96e-05
