epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.534,2.00367,2.76138,1.34574,0.47569,0.3106,0.27296,0.11207,2.2699,3.8513,1.65681,0.000664376,0.000664376,0.000664376
2,172.892,2.15663,2.07956,1.49806,0.51425,0.50245,0.37923,0.14642,2.22339,2.36371,1.58029,0.00130469,0.00130469,0.00130469
3,241.778,2.18891,1.86588,1.50884,0.44801,0.1016,0.10053,0.0366,2.63503,3.68013,1.98874,0.0019186,0.0019186,0.0019186
4,310.238,2.13869,1.77758,1.52715,0.49329,0.47757,0.38844,0.15836,2.28456,2.00778,1.6122,0.0018812,0.0018812,0.0018812
5,376.448,2.10094,1.66609,1.47552,0.56115,0.36139,0.34793,0.13648,2.4255,2.31262,1.64426,0.0018416,0.0018416,0.0018416
6,444.688,2.06391,1.63604,1.4632,0.57763,0.56313,0.50759,0.22558,2.11497,1.72007,1.51658,0.001802,0.001802,0.001802
7,513.565,2.0088,1.58897,1.42229,0.58927,0.55733,0.52474,0.23646,2.06909,1.64567,1.46562,0.0017624,0.0017624,0.0017624
8,582.146,1.95221,1.54204,1.40785,0.6078,0.59361,0.53752,0.24382,2.08499,1.61333,1.49476,0.0017228,0.0017228,0.0017228
9,650.615,1.99653,1.48997,1.41996,0.67583,0.54862,0.54234,0.23658,2.11755,1.65297,1.50198,0.0016832,0.0016832,0.0016832
10,718.928,1.96567,1.49482,1.44953,0.71396,0.61222,0.60332,0.26238,2.02807,1.56911,1.45045,0.0016436,0.0016436,0.0016436
11,787.074,1.96458,1.46623,1.4046,0.73582,0.54862,0.59589,0.25873,2.02763,1.53893,1.4441,0.001604,0.001604,0.001604
12,855.179,1.95121,1.47165,1.40927,0.67988,0.54427,0.5853,0.27343,1.98304,1.50954,1.41385,0.0015644,0.0015644,0.0015644
13,923.307,1.90508,1.3899,1.38747,0.63954,0.5225,0.56487,0.24883,2.07929,1.5238,1.44593,0.0015248,0.0015248,0.0015248
14,991.439,1.87417,1.38457,1.35928,0.66389,0.58491,0.59561,0.2897,1.91774,1.47525,1.39,0.0014852,0.0014852,0.0014852
15,1060.13,1.86832,1.37524,1.36605,0.66783,0.58636,0.60847,0.29382,1.86557,1.42586,1.3557,0.0014456,0.0014456,0.0014456
16,1127.71,1.84708,1.3526,1.35964,0.74057,0.54689,0.60159,0.27832,1.93495,1.43934,1.38416,0.001406,0.001406,0.001406
17,1196.02,1.84202,1.37001,1.34909,0.74096,0.58926,0.65808,0.3022,1.93758,1.40602,1.40134,0.0013664,0.0013664,0.0013664
18,1264.41,1.77799,1.30768,1.31901,0.71865,0.5791,0.61995,0.28801,1.91762,1.41477,1.37725,0.0013268,0.0013268,0.0013268
19,1334.21,1.78383,1.30107,1.30315,0.72802,0.60377,0.66741,0.33566,1.81149,1.32907,1.32301,0.0012872,0.0012872,0.0012872
20,1400.42,1.78635,1.28764,1.32688,0.65887,0.62264,0.65483,0.32435,1.88991,1.36442,1.35534,0.0012476,0.0012476,0.0012476
21,1468.83,1.76289,1.26408,1.32083,0.71264,0.57039,0.64064,0.29659,1.90591,1.42806,1.35015,0.001208,0.001208,0.001208
22,1537.03,1.75898,1.30162,1.31901,0.61135,0.46734,0.49072,0.23984,1.98493,1.83098,1.44503,0.0011684,0.0011684,0.0011684
23,1605.35,1.74895,1.28667,1.28826,0.69512,0.55594,0.61051,0.29016,1.88333,1.3771,1.35406,0.0011288,0.0011288,0.0011288
24,1673.57,1.72538,1.22508,1.29353,0.71701,0.59942,0.66821,0.33025,1.79813,1.31732,1.33312,0.0010892,0.0010892,0.0010892
25,1739.55,1.73587,1.27504,1.28838,0.72043,0.59507,0.66851,0.34485,1.77011,1.31905,1.32156,0.0010496,0.0010496,0.0010496
26,1805.75,1.73442,1.23915,1.30067,0.68339,0.61538,0.65665,0.33733,1.80886,1.31276,1.31843,0.00101,0.00101,0.00101
27,1874.16,1.72869,1.25142,1.28683,0.68887,0.62664,0.68067,0.34239,1.79236,1.32714,1.31138,0.0009704,0.0009704,0.0009704
28,1942.63,1.7025,1.19115,1.27206,0.68957,0.57765,0.65945,0.33649,1.74274,1.28988,1.2619,0.0009308,0.0009308,0.0009308
29,2010.93,1.69532,1.19808,1.25247,0.68853,0.60087,0.65698,0.32379,1.79586,1.3554,1.29928,0.0008912,0.0008912,0.0008912
30,2079.49,1.67195,1.18024,1.25086,0.70879,0.59216,0.68101,0.34452,1.76739,1.25953,1.26665,0.0008516,0.0008516,0.0008516
31,2147.98,1.6355,1.13916,1.23226,0.70707,0.65457,0.69787,0.36176,1.72413,1.23539,1.25716,0.000812,0.000812,0.000812
32,2214.12,1.63285,1.16191,1.25453,0.75235,0.62171,0.69744,0.35519,1.74434,1.23722,1.26973,0.0007724,0.0007724,0.0007724
33,2282.3,1.65121,1.13619,1.23941,0.64389,0.67054,0.6979,0.35722,1.67993,1.21942,1.25853,0.0007328,0.0007328,0.0007328
34,2350.46,1.64393,1.16224,1.22845,0.70041,0.64151,0.70505,0.35375,1.71242,1.23603,1.26538,0.0006932,0.0006932,0.0006932
35,2416.36,1.62236,1.15541,1.25408,0.76961,0.62057,0.69238,0.3528,1.7599,1.25956,1.28762,0.0006536,0.0006536,0.0006536
36,2483.05,1.60431,1.16148,1.20971,0.68692,0.65602,0.69947,0.34883,1.74236,1.22921,1.26467,0.000614,0.000614,0.000614
37,2551.58,1.63148,1.13542,1.2329,0.74817,0.60522,0.69111,0.3558,1.72779,1.22485,1.26386,0.0005744,0.0005744,0.0005744
38,2619.73,1.59386,1.12641,1.22585,0.72951,0.62119,0.70704,0.37416,1.64242,1.19292,1.24068,0.0005348,0.0005348,0.0005348
39,2687.9,1.58092,1.11791,1.19856,0.7531,0.62554,0.72013,0.37297,1.64704,1.17007,1.22846,0.0004952,0.0004952,0.0004952
40,2754.01,1.59052,1.09659,1.19596,0.70633,0.68769,0.72741,0.37716,1.64657,1.14463,1.21858,0.0004556,0.0004556,0.0004556
41,2818.4,1.55179,1.0475,1.20937,0.67847,0.65747,0.69311,0.35396,1.72441,1.2001,1.25135,0.000416,0.000416,0.000416
42,2882.26,1.54077,1.04323,1.2159,0.65049,0.68215,0.70828,0.37696,1.62467,1.17323,1.21583,0.0003764,0.0003764,0.0003764
43,2946.33,1.54762,1.031,1.20277,0.71031,0.66328,0.72159,0.3748,1.6505,1.16967,1.22481,0.0003368,0.0003368,0.0003368
44,3008.76,1.50361,1.00946,1.19385,0.65655,0.69639,0.72044,0.37256,1.62004,1.16608,1.20388,0.0002972,0.0002972,0.0002972
45,3072.75,1.49355,1.00332,1.19368,0.68996,0.66212,0.71238,0.36536,1.62875,1.15736,1.21789,0.0002576,0.0002576,0.0002576
46,3136.67,1.48341,0.98875,1.17374,0.67154,0.69666,0.71824,0.37715,1.61446,1.14357,1.20737,0.000218,0.000218,0.000218
47,3200.67,1.46038,0.97161,1.16189,0.69833,0.69956,0.73594,0.38876,1.60388,1.12314,1.20711,0.0001784,0.0001784,0.0001784
48,3264.86,1.4586,0.95729,1.15568,0.67642,0.71602,0.73425,0.39027,1.59436,1.11388,1.20126,0.0001388,0.0001388,0.0001388
49,3329.21,1.44432,0.96155,1.15453,0.66488,0.7344,0.74027,0.39247,1.58638,1.10654,1.196,9.92e-05,9.92e-05,9.92e-05
50,3391.43,1.44147,0.95928,1.16138,0.65046,0.74165,0.74006,0.39348,1.5799,1.10577,1.19598,5.96e-05,5.96e-05,5.96e-05
