epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9863,1.9893,2.7692,1.33994,0.44626,0.45618,0.37594,0.14587,2.34559,3.21858,1.6348,0.000664376,0.000664376,0.000664376
2,144.512,2.1454,2.05726,1.47362,0.49511,0.49492,0.43077,0.16686,2.21966,2.07694,1.52134,0.00130469,0.00130469,0.00130469
3,212.46,2.14301,1.83532,1.48575,0.60978,0.57184,0.5091,0.20454,2.17462,1.85536,1.60624,0.0019186,0.0019186,0.0019186
4,282.297,2.11239,1.71299,1.51096,0.6188,0.50889,0.49225,0.21047,2.13357,1.74352,1.49671,0.0018812,0.0018812,0.0018812
5,351.924,2.06087,1.63311,1.45689,0.65834,0.61246,0.51879,0.22033,2.14704,1.72937,1.51586,0.0018416,0.0018416,0.0018416
6,421.747,2.0389,1.61337,1.45096,0.57694,0.5791,0.51224,0.22281,2.15161,1.67098,1.49965,0.001802,0.001802,0.001802
7,491.914,1.97959,1.56881,1.4113,0.58113,0.6357,0.55079,0.25102,2.07632,1.56305,1.50262,0.0017624,0.0017624,0.0017624
8,559.333,1.95602,1.49993,1.39612,0.64913,0.57194,0.54877,0.2582,2.01281,1.58795,1.43842,0.0017228,0.0017228,0.0017228
9,1723.08,1.97656,1.48231,1.4137,0.63007,0.54572,0.52334,0.21779,2.14722,1.68552,1.50569,0.0016832,0.0016832,0.0016832
10,1807.68,1.93904,1.47337,1.41844,0.66505,0.64296,0.58376,0.265,1.98376,1.53644,1.42513,0.0016436,0.0016436,0.0016436
11,1885.72,1.98576,1.47389,1.41527,0.65898,0.627,0.56806,0.24574,2.15187,1.54565,1.49329,0.001604,0.001604,0.001604
12,1967.72,1.92833,1.48413,1.393,0.66702,0.66578,0.61226,0.2968,1.91605,1.41873,1.37334,0.0015644,0.0015644,0.0015644
13,2048.06,1.89602,1.3765,1.35754,0.58388,0.5283,0.49684,0.22018,2.12917,1.60959,1.51029,0.0015248,0.0015248,0.0015248
14,2128.5,1.87105,1.38495,1.36751,0.70293,0.60522,0.61356,0.30264,1.90309,1.40814,1.36255,0.0014852,0.0014852,0.0014852
15,2210.99,1.8649,1.3552,1.34628,0.69598,0.49637,0.51798,0.25192,1.98308,1.76021,1.41112,0.0014456,0.0014456,0.0014456
