epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3644,2.0173,2.77995,1.3549,0.52353,0.39187,0.36527,0.16049,2.19237,3.09983,1.57041,0.000664376,0.000664376,0.000664376
2,127.438,2.16905,2.11046,1.51781,0.46295,0.28882,0.23528,0.0753,2.65835,2.89852,1.91149,0.00130469,0.00130469,0.00130469
3,191,2.18412,1.83913,1.52296,0.35633,0.15385,0.13746,0.04339,2.64815,3.48899,1.96672,0.0019186,0.0019186,0.0019186
4,254.149,2.13523,1.75342,1.53476,0.5251,0.48331,0.41266,0.17477,2.13269,1.84983,1.56663,0.0018812,0.0018812,0.0018812
5,308.511,2.08846,1.62791,1.49293,0.59142,0.54136,0.49154,0.20272,2.21201,1.78504,1.53601,0.0018416,0.0018416,0.0018416
6,362.914,2.04646,1.60139,1.48003,0.61858,0.53556,0.50402,0.2163,2.17726,1.71714,1.53949,0.001802,0.001802,0.001802
7,415.314,2.01211,1.61311,1.45296,0.67748,0.54427,0.55152,0.24173,2.10753,1.61421,1.51664,0.0017624,0.0017624,0.0017624
8,468.1,1.95911,1.49135,1.44259,0.70676,0.54862,0.59197,0.25782,2.10606,1.53347,1.49548,0.0017228,0.0017228,0.0017228
9,522.171,2.01183,1.49211,1.44284,0.69712,0.54452,0.58304,0.24842,2.14127,1.53313,1.48582,0.0016832,0.0016832,0.0016832
10,576.65,1.95653,1.49716,1.45304,0.71236,0.57475,0.60849,0.27977,2.01809,1.50738,1.4455,0.0016436,0.0016436,0.0016436
11,630.76,1.96275,1.47976,1.40827,0.73227,0.54783,0.60343,0.2695,2.0038,1.50265,1.45278,0.001604,0.001604,0.001604
12,691.874,1.96575,1.48423,1.43852,0.70026,0.52895,0.57561,0.26857,1.997,1.50058,1.43839,0.0015644,0.0015644,0.0015644
13,749.167,1.90535,1.35963,1.3819,0.7067,0.49637,0.54017,0.23235,2.19324,1.56044,1.51253,0.0015248,0.0015248,0.0015248
14,803.219,1.87206,1.39945,1.37407,0.75486,0.58101,0.63286,0.30994,1.92025,1.3975,1.39735,0.0014852,0.0014852,0.0014852
15,857.702,1.87112,1.36728,1.38118,0.72513,0.57433,0.60586,0.28948,1.9239,1.35901,1.39797,0.0014456,0.0014456,0.0014456
16,910.24,1.84771,1.36107,1.36566,0.73955,0.55298,0.60735,0.27914,1.92976,1.39189,1.39212,0.001406,0.001406,0.001406
17,963.455,1.84447,1.34756,1.35642,0.75756,0.5791,0.65908,0.30295,1.88652,1.38291,1.35879,0.0013664,0.0013664,0.0013664
18,1018.36,1.79719,1.33107,1.34952,0.70085,0.582,0.61745,0.30111,1.89076,1.39131,1.3903,0.0013268,0.0013268,0.0013268
19,1073.19,1.78556,1.30644,1.32026,0.7283,0.5791,0.63915,0.3267,1.79935,1.33378,1.3254,0.0012872,0.0012872,0.0012872
20,1125.55,1.81215,1.30345,1.35195,0.51402,0.43251,0.43638,0.19369,2.1414,1.99851,1.54388,0.0012476,0.0012476,0.0012476
21,1179.99,1.78383,1.27539,1.33398,0.71314,0.5312,0.5915,0.28966,1.93033,1.52738,1.38003,0.001208,0.001208,0.001208
