epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1617,2.02178,2.81573,1.37056,0.35557,0.3135,0.25757,0.09159,2.43923,3.63286,1.64696,0.000664376,0.000664376,0.000664376
2,102.333,2.21906,2.14691,1.55363,0.5167,0.37155,0.34447,0.13188,2.44105,2.50165,1.7095,0.00130469,0.00130469,0.00130469
3,149.661,2.17514,1.89602,1.52527,0.41491,0.49347,0.3891,0.15347,2.30721,1.88498,1.61058,0.0019186,0.0019186,0.0019186
4,197.461,2.18179,1.85457,1.55715,0.54754,0.51959,0.46998,0.19153,2.18164,1.95696,1.56379,0.0018812,0.0018812,0.0018812
5,246.576,2.12144,1.68574,1.52307,0.6621,0.51669,0.54514,0.2141,2.1839,1.71551,1.54134,0.0018416,0.0018416,0.0018416
6,294.889,2.05743,1.62716,1.47131,0.67454,0.59361,0.56228,0.2437,2.0665,1.67316,1.47928,0.001802,0.001802,0.001802
7,340.341,2.04953,1.59711,1.44514,0.71586,0.5312,0.6073,0.27771,2.05516,1.59579,1.44918,0.0017624,0.0017624,0.0017624
8,386.923,1.99605,1.57189,1.44471,0.45299,0.30189,0.28269,0.12841,2.45342,2.8049,1.84052,0.0017228,0.0017228,0.0017228
9,434.201,2.03412,1.54317,1.43575,0.6729,0.54938,0.56109,0.23518,2.16156,1.60431,1.48338,0.0016832,0.0016832,0.0016832
10,482.273,1.98189,1.52597,1.45415,0.69535,0.51234,0.57403,0.25496,2.12064,1.74336,1.4878,0.0016436,0.0016436,0.0016436
11,527.846,1.99983,1.51578,1.42427,0.1047,0.04644,0.03315,0.01114,2.88497,5.02188,2.38333,0.001604,0.001604,0.001604
12,573.856,1.94475,1.46432,1.40696,0.71418,0.55486,0.61914,0.30786,1.9295,1.43604,1.38091,0.0015644,0.0015644,0.0015644
13,621.329,1.91475,1.3916,1.38544,0.71561,0.51814,0.57389,0.2512,2.12195,1.55871,1.46045,0.0015248,0.0015248,0.0015248
14,669.23,1.89555,1.41618,1.36742,0.68706,0.54282,0.57706,0.27801,1.95982,1.47244,1.39006,0.0014852,0.0014852,0.0014852
15,716.649,1.90281,1.39026,1.36459,0.56329,0.41945,0.43186,0.20163,2.09429,2.04366,1.49214,0.0014456,0.0014456,0.0014456
