epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.064,1.88559,2.62289,1.33774,0.43071,0.38947,0.31309,0.15238,1.77596,8.90514,1.16273,0.000665087,0.000665087,0.000665087
2,206.604,1.98009,1.76166,1.40136,0.82717,0.41176,0.48207,0.21929,1.84043,7.9878,1.07415,0.00130538,0.00130538,0.00130538
3,296.768,1.94357,1.63934,1.42011,0.59628,0.54302,0.50273,0.20436,2.0249,2.67397,1.2152,0.00191928,0.00191928,0.00191928
4,388.346,1.92529,1.55972,1.40882,0.72297,0.49894,0.49842,0.23357,1.82182,3.11243,1.21328,0.0018812,0.0018812,0.0018812
5,477.936,1.90276,1.48197,1.37522,0.76075,0.48529,0.54043,0.26369,1.83749,2.15285,1.1112,0.0018416,0.0018416,0.0018416
6,564.074,1.86441,1.43977,1.35878,0.83608,0.45015,0.53446,0.26336,1.7029,1.91745,1.09052,0.001802,0.001802,0.001802
7,652.349,1.80534,1.35619,1.32022,0.68153,0.47209,0.5433,0.23014,1.71238,1.94441,1.09645,0.0017624,0.0017624,0.0017624
8,741.259,1.77291,1.32293,1.31581,0.74822,0.52941,0.61628,0.2752,1.78138,1.85639,1.03523,0.0017228,0.0017228,0.0017228
9,830.033,1.74236,1.2732,1.28539,0.82307,0.47059,0.56705,0.27629,1.72428,1.83924,1.06324,0.0016832,0.0016832,0.0016832
10,919.138,1.75309,1.29765,1.29192,0.71963,0.55882,0.59267,0.27691,1.74392,2.23224,1.08284,0.0016436,0.0016436,0.0016436
11,1007.64,1.72313,1.23132,1.28469,0.70134,0.63235,0.61166,0.23239,1.81385,2.13234,1.06813,0.001604,0.001604,0.001604
12,1097.49,1.68061,1.21643,1.26055,0.72397,0.50144,0.59359,0.27389,1.75998,2.06934,1.04058,0.0015644,0.0015644,0.0015644
13,1188.68,1.72701,1.24102,1.28874,0.76332,0.56921,0.63734,0.31098,1.75847,1.43528,1.0855,0.0015248,0.0015248,0.0015248
14,1277.44,1.67556,1.19523,1.2575,0.75336,0.54412,0.5969,0.3089,1.68961,1.69786,1.01541,0.0014852,0.0014852,0.0014852
15,1365.79,1.66404,1.18819,1.23845,0.88937,0.52941,0.64761,0.30285,1.70231,1.8413,1.05306,0.0014456,0.0014456,0.0014456
16,1452.42,1.69941,1.22661,1.26431,0.70173,0.55363,0.6008,0.28182,1.76788,2.48758,1.06022,0.001406,0.001406,0.001406
17,1539.22,1.63419,1.14822,1.22763,0.79827,0.48529,0.5829,0.30919,1.67515,2.695,1.05953,0.0013664,0.0013664,0.0013664
18,1625.44,1.64512,1.186,1.24824,0.70139,0.58824,0.58904,0.27171,1.66533,1.62805,1.05398,0.0013268,0.0013268,0.0013268
19,1715.08,1.62367,1.15659,1.22956,0.74651,0.60294,0.64582,0.32189,1.67945,1.45567,1.04404,0.0012872,0.0012872,0.0012872
20,1805.08,1.61817,1.13927,1.21203,0.7794,0.54412,0.64462,0.32151,1.62426,1.80937,1.11588,0.0012476,0.0012476,0.0012476
21,1894.54,1.6017,1.13539,1.21124,0.69489,0.55882,0.64641,0.32943,1.71405,1.25488,1.00453,0.001208,0.001208,0.001208
22,1981.51,1.59305,1.11915,1.19963,0.7011,0.64706,0.67858,0.33315,1.63909,2.0023,0.97654,0.0011684,0.0011684,0.0011684
23,2070.23,1.5932,1.13146,1.21249,0.81373,0.58824,0.70644,0.33334,1.67785,1.75743,1.04939,0.0011288,0.0011288,0.0011288
24,2158.23,1.54486,1.07205,1.1845,0.67586,0.64396,0.67141,0.32086,1.64424,1.42323,1.03489,0.0010892,0.0010892,0.0010892
25,2247.33,1.566,1.07605,1.20486,0.66608,0.55882,0.63673,0.2995,1.67786,1.49964,1.01398,0.0010496,0.0010496,0.0010496
26,2345.84,1.57936,1.08637,1.20237,0.72175,0.66176,0.68731,0.33428,1.81343,1.49406,1.06063,0.00101,0.00101,0.00101
27,2436.41,1.54052,1.0534,1.17479,0.7387,0.66176,0.7344,0.34903,1.59649,1.27242,0.97349,0.0009704,0.0009704,0.0009704
28,2525.08,1.55532,1.07671,1.18854,0.7379,0.57353,0.63726,0.31931,1.67785,1.53458,1.02263,0.0009308,0.0009308,0.0009308
29,2616.64,1.52902,1.05406,1.18757,0.77203,0.64706,0.71833,0.34371,1.62527,1.29845,0.98744,0.0008912,0.0008912,0.0008912
30,2713.83,1.52238,1.06422,1.17808,0.76781,0.58361,0.67613,0.31915,1.59063,1.22622,0.96361,0.0008516,0.0008516,0.0008516
31,2812.2,1.50797,1.03794,1.17175,0.7215,0.64769,0.6981,0.35263,1.5998,1.26113,0.98903,0.000812,0.000812,0.000812
32,2903.36,1.49475,1.0399,1.17394,0.72791,0.69118,0.71441,0.33234,1.68525,1.27906,0.97671,0.0007724,0.0007724,0.0007724
33,2998.18,1.49592,1.04414,1.16614,0.78032,0.54412,0.67189,0.32573,1.6407,1.50349,0.97983,0.0007328,0.0007328,0.0007328
34,3096.33,1.49022,1.0412,1.17346,0.6916,0.72059,0.73679,0.33954,1.68315,1.22732,0.97765,0.0006932,0.0006932,0.0006932
35,3193.85,1.47254,0.99986,1.14802,0.64451,0.73529,0.70468,0.33191,1.64747,1.48482,0.97594,0.0006536,0.0006536,0.0006536
36,3288.7,1.47484,1.01694,1.14744,0.66117,0.66003,0.68597,0.34286,1.6758,1.28783,0.97531,0.000614,0.000614,0.000614
37,3380.86,1.44196,0.98625,1.13375,0.65011,0.70588,0.71767,0.33633,1.62492,1.28999,0.97165,0.0005744,0.0005744,0.0005744
38,3470.81,1.43866,0.9484,1.12423,0.68066,0.68961,0.68427,0.34869,1.64897,1.29771,0.97517,0.0005348,0.0005348,0.0005348
39,3558.96,1.45146,1.00347,1.14004,0.74743,0.58824,0.69151,0.34094,1.69618,1.26164,0.98699,0.0004952,0.0004952,0.0004952
40,3648.42,1.42149,0.9597,1.12319,0.7707,0.61765,0.69833,0.34056,1.62176,1.23729,0.96459,0.0004556,0.0004556,0.0004556
41,3733.68,1.39643,0.88404,1.12154,0.70011,0.60294,0.69632,0.34438,1.65312,1.33691,0.94784,0.000416,0.000416,0.000416
42,3817.85,1.37262,0.86402,1.10527,0.76038,0.60294,0.70143,0.34133,1.64662,1.23374,0.977,0.0003764,0.0003764,0.0003764
43,3899.89,1.3566,0.86201,1.09936,0.62039,0.70588,0.69982,0.34208,1.68285,1.20988,0.97639,0.0003368,0.0003368,0.0003368
44,3983.77,1.34594,0.8431,1.09267,0.83824,0.60972,0.73223,0.35773,1.63403,1.1851,0.95826,0.0002972,0.0002972,0.0002972
45,4068.54,1.34123,0.83909,1.08545,0.7521,0.6693,0.7462,0.35466,1.68001,1.33587,0.98529,0.0002576,0.0002576,0.0002576
46,4152.64,1.32311,0.83537,1.08072,0.80375,0.63235,0.73864,0.35523,1.72512,1.25982,0.98463,0.000218,0.000218,0.000218
47,4237.26,1.31944,0.81142,1.0789,0.79937,0.60294,0.71511,0.3473,1.68166,1.23053,0.97434,0.0001784,0.0001784,0.0001784
48,4321.28,1.31129,0.80675,1.06947,0.69788,0.71343,0.73485,0.35766,1.65509,1.21789,0.95147,0.0001388,0.0001388,0.0001388
49,4405.3,1.30391,0.80753,1.06722,0.75692,0.64706,0.73225,0.36652,1.62441,1.15672,0.9519,9.92e-05,9.92e-05,9.92e-05
50,4495.9,1.30762,0.81074,1.07676,0.76722,0.67647,0.74535,0.36314,1.64666,1.17892,0.95932,5.96e-05,5.96e-05,5.96e-05
