epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.2353,1.89804,2.63826,1.3418,0.44075,0.38247,0.3102,0.1527,1.80294,11.9032,1.1387,0.000665087,0.000665087,0.000665087
2,184.998,2.01389,1.84981,1.4235,0.52884,0.38235,0.34253,0.13342,2.19273,4.06193,1.41614,0.00130538,0.00130538,0.00130538
3,276.167,1.99415,1.74039,1.43825,0.53116,0.39706,0.37918,0.17564,1.89457,2.87194,1.20373,0.00191928,0.00191928,0.00191928
4,363.354,1.95208,1.65368,1.40841,0.58765,0.42647,0.41926,0.22324,1.98647,4.30596,1.1971,0.0018812,0.0018812,0.0018812
5,452.911,1.94035,1.56909,1.37858,0.61594,0.44118,0.42132,0.20705,2.05474,2.63804,1.19472,0.0018416,0.0018416,0.0018416
6,540.343,1.91691,1.52331,1.37232,0.57899,0.46522,0.46051,0.22641,1.93035,2.37744,1.12885,0.001802,0.001802,0.001802
7,627.461,1.83879,1.44928,1.32654,0.61262,0.48529,0.46827,0.22119,1.81638,2.74836,1.11862,0.0017624,0.0017624,0.0017624
8,716.743,1.82013,1.42952,1.31454,0.55876,0.48529,0.46809,0.2275,2.03987,2.41813,1.14361,0.0017228,0.0017228,0.0017228
9,806.189,1.78766,1.3797,1.29969,0.70949,0.45588,0.50708,0.26234,1.84402,2.32007,1.08676,0.0016832,0.0016832,0.0016832
10,895.109,1.81847,1.41156,1.32828,0.51685,0.51471,0.46339,0.23247,1.93538,2.01596,1.15379,0.0016436,0.0016436,0.0016436
11,984.56,1.77565,1.33442,1.3045,0.69102,0.45588,0.48273,0.22372,1.95465,2.21754,1.08065,0.001604,0.001604,0.001604
12,1073.92,1.74545,1.32733,1.28913,0.79551,0.48529,0.51797,0.21669,2.01381,2.06509,1.20899,0.0015644,0.0015644,0.0015644
13,1163.16,1.78294,1.34942,1.30393,0.70844,0.42647,0.46041,0.22897,1.92397,2.31853,1.15725,0.0015248,0.0015248,0.0015248
14,1252.17,1.72812,1.29606,1.27183,0.76285,0.52941,0.60466,0.28533,1.82088,2.30029,1.07457,0.0014852,0.0014852,0.0014852
15,1341.14,1.69289,1.27709,1.24748,0.83416,0.44118,0.53664,0.2766,1.75807,2.1209,1.05975,0.0014456,0.0014456,0.0014456
16,1430.1,1.73981,1.31397,1.28784,0.74456,0.5,0.54073,0.24271,1.96519,2.32343,1.11376,0.001406,0.001406,0.001406
17,1517.23,1.67397,1.2437,1.24135,0.73411,0.51471,0.52414,0.24552,1.85606,2.03883,1.09785,0.0013664,0.0013664,0.0013664
18,1604.31,1.69469,1.28082,1.25656,0.77592,0.54412,0.59353,0.28162,1.87061,2.51911,1.06954,0.0013268,0.0013268,0.0013268
19,1693.59,1.67995,1.26373,1.2623,0.72009,0.4919,0.51696,0.27389,1.90436,1.8905,1.06942,0.0012872,0.0012872,0.0012872
20,1782.48,1.66211,1.24384,1.22773,0.65021,0.49211,0.50947,0.26991,1.93742,2.12667,1.09828,0.0012476,0.0012476,0.0012476
21,1871.76,1.65891,1.26293,1.2396,0.77982,0.54412,0.59152,0.27241,1.89279,1.99473,1.06095,0.001208,0.001208,0.001208
22,1961.07,1.63818,1.2059,1.22923,0.67447,0.54412,0.54766,0.28476,1.6992,2.63903,1.02236,0.0011684,0.0011684,0.0011684
23,2050.25,1.64278,1.22272,1.23092,0.69342,0.52941,0.54285,0.26538,1.80823,2.34589,1.06056,0.0011288,0.0011288,0.0011288
24,2139.07,1.5991,1.17492,1.21859,0.80452,0.54472,0.63088,0.29125,1.82145,2.00022,1.04632,0.0010892,0.0010892,0.0010892
25,2228.11,1.60622,1.17358,1.22239,0.73476,0.52941,0.55828,0.28657,1.79862,1.93307,1.06532,0.0010496,0.0010496,0.0010496
26,2317.31,1.61289,1.19437,1.21491,0.65308,0.57353,0.59301,0.28728,1.87734,1.93953,1.10831,0.00101,0.00101,0.00101
27,2406.42,1.57251,1.14493,1.18841,0.78635,0.58824,0.63683,0.30686,1.72164,2.06234,1.02304,0.0009704,0.0009704,0.0009704
28,2495.66,1.59596,1.17786,1.21416,0.79641,0.55882,0.57523,0.28703,1.8468,2.15158,1.07071,0.0009308,0.0009308,0.0009308
29,2584.66,1.56717,1.1573,1.19291,0.71489,0.60294,0.61022,0.31076,1.76623,2.0334,1.05144,0.0008912,0.0008912,0.0008912
30,2673.77,1.55111,1.14905,1.1932,0.75342,0.58824,0.6023,0.29489,1.79554,1.97585,1.03447,0.0008516,0.0008516,0.0008516
31,2762.64,1.54957,1.12627,1.18973,0.85443,0.55882,0.62135,0.3137,1.79186,2.20583,1.04251,0.000812,0.000812,0.000812
32,2852.11,1.53173,1.11641,1.1872,0.74538,0.6027,0.62051,0.31428,1.78032,1.90024,1.00605,0.0007724,0.0007724,0.0007724
33,2941.42,1.53797,1.13019,1.18445,0.72407,0.5,0.55735,0.28724,1.80006,2.09247,1.0486,0.0007328,0.0007328,0.0007328
34,3030.68,1.52363,1.11999,1.19233,0.74979,0.60294,0.63202,0.3159,1.79258,1.87087,1.04656,0.0006932,0.0006932,0.0006932
35,3119.97,1.50586,1.08909,1.16753,0.773,0.54412,0.61809,0.30266,1.76271,2.01352,1.01283,0.0006536,0.0006536,0.0006536
36,3209.17,1.5165,1.10882,1.16621,0.77316,0.55882,0.59382,0.29933,1.83862,2.04307,1.06473,0.000614,0.000614,0.000614
37,3298.33,1.47616,1.06734,1.15524,0.82716,0.55882,0.64229,0.32201,1.76208,1.96723,1.05537,0.0005744,0.0005744,0.0005744
38,3387.7,1.46089,1.03286,1.14226,0.70121,0.60294,0.61679,0.29848,1.78555,1.97883,1.0305,0.0005348,0.0005348,0.0005348
39,3476.98,1.48942,1.08605,1.15724,0.78796,0.57353,0.62918,0.30577,1.78843,2.02057,1.02168,0.0004952,0.0004952,0.0004952
40,3566.49,1.46125,1.05831,1.14919,0.7882,0.63235,0.65175,0.30905,1.84893,1.93349,1.05895,0.0004556,0.0004556,0.0004556
41,3647.64,1.41468,0.96902,1.1338,0.76159,0.60294,0.64034,0.32933,1.74355,1.94631,0.99277,0.000416,0.000416,0.000416
42,3728.68,1.40273,0.96315,1.12074,0.77586,0.64706,0.6661,0.32147,1.79909,1.9403,1.04921,0.0003764,0.0003764,0.0003764
43,3812.04,1.37525,0.93904,1.11107,0.76731,0.58824,0.64131,0.31686,1.75364,1.90004,1.01585,0.0003368,0.0003368,0.0003368
44,3895.08,1.37042,0.9166,1.10655,0.8118,0.63235,0.6664,0.31891,1.74961,1.97361,1.04972,0.0002972,0.0002972,0.0002972
45,3984.62,1.35584,0.91502,1.09908,0.79038,0.61002,0.66073,0.33364,1.71445,2.07614,1.00639,0.0002576,0.0002576,0.0002576
46,4071.82,1.34962,0.90439,1.09903,0.81114,0.60294,0.64608,0.33135,1.72849,1.97573,0.99679,0.000218,0.000218,0.000218
47,4156.21,1.34783,0.89138,1.09587,0.77606,0.57353,0.63137,0.32154,1.73141,1.92471,1.01557,0.0001784,0.0001784,0.0001784
48,4240.25,1.33449,0.88373,1.08219,0.83775,0.6075,0.65533,0.33309,1.73099,1.92013,1.01277,0.0001388,0.0001388,0.0001388
49,4327.2,1.32282,0.87719,1.08141,0.80824,0.61985,0.67113,0.33294,1.72728,1.93188,0.99713,9.92e-05,9.92e-05,9.92e-05
50,4415.74,1.31325,0.88625,1.08317,0.81593,0.61765,0.66535,0.33619,1.72037,1.93499,1.007,5.96e-05,5.96e-05,5.96e-05
