epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.7236,1.90282,2.60674,1.32934,0.58033,0.45588,0.44297,0.19793,1.80864,9.28835,1.06162,0.000665087,0.000665087,0.000665087
2,182.534,2.00155,1.82689,1.41326,0.84509,0.41176,0.53505,0.21827,1.84069,5.20195,1.40615,0.00130538,0.00130538,0.00130538
3,274.761,1.96554,1.66002,1.43338,0.5757,0.60294,0.49147,0.21669,1.82774,1.85649,1.16015,0.00191928,0.00191928,0.00191928
4,362.061,1.94363,1.57124,1.41741,0.66257,0.57353,0.57511,0.22219,1.95118,2.30451,1.21919,0.0018812,0.0018812,0.0018812
5,451.201,1.93056,1.51144,1.39358,0.5254,0.35823,0.46441,0.22114,1.78144,3.64165,1.05246,0.0018416,0.0018416,0.0018416
6,540.824,1.88026,1.43695,1.36496,0.34353,0.37713,0.28624,0.12343,1.90759,5.14326,1.16598,0.001802,0.001802,0.001802
7,630.375,1.81984,1.3676,1.3306,0.72609,0.55882,0.61501,0.25525,1.83537,3.6871,1.13198,0.0017624,0.0017624,0.0017624
8,720.057,1.79494,1.3266,1.32221,0.67187,0.57353,0.63731,0.27165,1.74377,2.46025,1.0936,0.0017228,0.0017228,0.0017228
9,809.183,1.76869,1.28617,1.3006,0.6785,0.52941,0.49988,0.24518,1.75504,1.9377,1.08801,0.0016832,0.0016832,0.0016832
10,898.648,1.77786,1.29591,1.31238,0.51424,0.5,0.45603,0.201,1.84354,2.03419,1.12226,0.0016436,0.0016436,0.0016436
11,987.649,1.74953,1.24547,1.29778,0.71715,0.5,0.51625,0.21081,1.88295,2.11233,1.10365,0.001604,0.001604,0.001604
12,1076.88,1.69863,1.21801,1.2628,0.61675,0.51471,0.52733,0.24842,1.7219,1.9272,1.07718,0.0015644,0.0015644,0.0015644
13,1166.39,1.72768,1.26406,1.28579,0.63983,0.5,0.49947,0.22231,1.76746,1.74083,1.07079,0.0015248,0.0015248,0.0015248
14,1260.28,1.70415,1.20154,1.26494,0.73704,0.44118,0.53639,0.28056,1.62847,1.81645,1.06568,0.0014852,0.0014852,0.0014852
15,1353.65,1.70378,1.20924,1.25365,0.79038,0.48529,0.56072,0.26221,1.66805,2.16775,1.05031,0.0014456,0.0014456,0.0014456
16,1450.96,1.71041,1.23525,1.2772,0.6168,0.51471,0.52689,0.24909,1.79167,2.22822,1.04063,0.001406,0.001406,0.001406
17,1540.77,1.6434,1.14596,1.23685,0.78528,0.57353,0.6376,0.29912,1.5991,1.92986,1.0353,0.0013664,0.0013664,0.0013664
