epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.06326,0.97759,2.48917,1.45103,0.00333,1,0.61184,0.3432,0.47996,2.8599,1.22889,4e-05,4e-05,4e-05
2,3.48934,0.70841,2.32876,1.19347,0.00333,1,0.84165,0.66818,0.34982,2.79087,1.09398,9.802e-05,9.802e-05,9.802e-05
3,4.76894,0.54973,1.981,1.12054,0.00333,1,0.83281,0.68535,0.35788,2.78001,1.06124,0.000153664,0.000153664,0.000153664
4,6.21203,0.48529,1.7667,1.08952,0.00333,1,0.82428,0.62946,0.38283,2.74785,1.02538,0.000206932,0.000206932,0.000206932
5,7.41028,0.5185,1.43345,1.0517,0.00318,0.95455,0.78103,0.54077,0.39996,2.72188,1.03218,0.000257824,0.000257824,0.000257824
6,8.63726,0.41183,1.2282,1.01354,0.00333,1,0.8419,0.73188,0.33927,2.5519,0.98221,0.00030634,0.00030634,0.00030634
7,10.151,0.42888,1.05793,1.00037,0.27647,0.95455,0.93714,0.88813,0.33946,2.4015,0.99469,0.00035248,0.00035248,0.00035248
8,11.4214,0.44228,0.87286,0.98232,0.9472,0.95455,0.98643,0.9521,0.34224,2.30699,0.9989,0.000396244,0.000396244,0.000396244
9,12.6921,0.39038,0.85918,1.00851,1,0.37469,0.99326,0.95259,0.37238,2.25616,1.02551,0.000437632,0.000437632,0.000437632
10,13.9049,0.43384,0.81306,0.96577,1,0.99055,0.995,0.93125,0.40286,1.82275,1.07224,0.000476644,0.000476644,0.000476644
11,15.1846,0.42684,0.84292,0.97139,0.98301,1,0.995,0.91301,0.41602,1.34491,1.13825,0.00051328,0.00051328,0.00051328
12,16.4052,0.46088,0.83621,1.01213,1,0.99103,0.995,0.90614,0.42929,1.49604,1.12562,0.00054754,0.00054754,0.00054754
13,17.7465,0.46398,0.88196,1.01158,0.99595,0.95455,0.99326,0.88968,0.46165,1.47254,1.15687,0.000579424,0.000579424,0.000579424
14,18.933,0.38404,0.76272,0.97992,0.99622,1,0.995,0.88441,0.431,1.17105,1.09544,0.000608932,0.000608932,0.000608932
15,20.1036,0.51448,0.84138,1.03799,0.99622,1,0.995,0.88441,0.431,1.17105,1.09544,0.000636064,0.000636064,0.000636064
16,21.3201,0.44474,0.7541,0.96743,0.9928,1,0.995,0.91946,0.37491,1.15136,1.05772,0.00066082,0.00066082,0.00066082
17,22.4954,0.39926,0.75878,0.95977,0.99457,1,0.995,0.89225,0.44493,1.3466,1.10874,0.0006832,0.0006832,0.0006832
18,23.6326,0.44092,0.7185,0.97568,0.99457,1,0.995,0.89225,0.44493,1.3466,1.10874,0.000703204,0.000703204,0.000703204
19,24.8423,0.40388,0.72617,0.9513,0.98929,1,0.995,0.69423,0.70416,1.93643,1.34833,0.000720832,0.000720832,0.000720832
20,26.0082,0.37531,0.64764,0.97179,0.969,1,0.995,0.79375,0.56478,1.6036,1.24942,0.000736084,0.000736084,0.000736084
21,27.2784,0.43943,0.7543,0.94832,0.969,1,0.995,0.79375,0.56478,1.6036,1.24942,0.00074896,0.00074896,0.00074896
22,28.5277,0.45688,0.74787,1.0061,0.95626,0.99398,0.98935,0.80158,0.78666,1.32434,1.51332,0.00075946,0.00075946,0.00075946
23,29.7873,0.40445,0.63619,0.94549,0.95626,0.99398,0.98935,0.80158,0.78666,1.32434,1.51332,0.000767584,0.000767584,0.000767584
24,30.9769,0.4391,0.71412,0.96752,0.91376,0.90909,0.98259,0.77947,0.77954,1.4082,1.47223,0.000773332,0.000773332,0.000773332
25,32.1605,0.38642,0.64167,0.96168,0.91376,0.90909,0.98259,0.77947,0.77954,1.4082,1.47223,0.000776704,0.000776704,0.000776704
26,33.3806,0.41825,0.6917,0.971,1,0.85811,0.9716,0.8439,0.58429,1.24024,1.23293,0.0007777,0.0007777,0.0007777
27,34.5923,0.4275,0.67002,0.94708,1,0.85811,0.9716,0.8439,0.58429,1.24024,1.23293,0.00077632,0.00077632,0.00077632
28,35.805,0.41748,0.72836,0.94883,0.99944,1,0.995,0.87395,0.44928,1.18367,1.12305,0.000772564,0.000772564,0.000772564
29,36.9584,0.38665,0.72114,1.02558,0.99944,1,0.995,0.87395,0.44928,1.18367,1.12305,0.000766432,0.000766432,0.000766432
30,38.1474,0.42803,0.63335,0.94332,0.99944,1,0.995,0.87395,0.44928,1.18367,1.12305,0.000757924,0.000757924,0.000757924
31,39.433,0.33452,0.62035,0.97578,0.99718,1,0.995,0.92016,0.52568,1.68684,1.17771,0.00074704,0.00074704,0.00074704
32,40.5941,0.45457,0.66483,0.97657,0.99718,1,0.995,0.92016,0.52568,1.68684,1.17771,0.00073378,0.00073378,0.00073378
33,41.7826,0.403,0.67966,1.00564,0.99613,1,0.995,0.89708,0.51857,1.20542,1.1815,0.000718144,0.000718144,0.000718144
34,42.9365,0.37655,0.62001,0.9907,0.99613,1,0.995,0.89708,0.51857,1.20542,1.1815,0.0006932,0.0006932,0.0006932
35,44.0807,0.52835,0.74292,0.98063,0.99613,1,0.995,0.89708,0.51857,1.20542,1.1815,0.0006536,0.0006536,0.0006536
36,45.3527,0.36398,0.57918,0.94185,0.9973,1,0.995,0.90173,0.42139,0.96159,1.06968,0.000614,0.000614,0.000614
37,46.595,0.39636,0.70715,0.92909,0.9973,1,0.995,0.90173,0.42139,0.96159,1.06968,0.0005744,0.0005744,0.0005744
38,47.8138,0.36346,0.59696,0.98235,0.9973,1,0.995,0.90173,0.42139,0.96159,1.06968,0.0005348,0.0005348,0.0005348
39,49.0635,0.35532,0.57812,0.94617,0.99738,1,0.995,0.94236,0.3481,0.83338,1.0087,0.0004952,0.0004952,0.0004952
40,50.3216,0.34266,0.57731,0.93181,0.99738,1,0.995,0.94236,0.3481,0.83338,1.0087,0.0004556,0.0004556,0.0004556
41,51.6967,0.32815,1.12345,0.98945,0.99767,1,0.995,0.92222,0.34637,0.81543,1.05623,0.000416,0.000416,0.000416
42,52.8104,0.32658,1.00046,0.98852,0.99767,1,0.995,0.92222,0.34637,0.81543,1.05623,0.0003764,0.0003764,0.0003764
43,53.9377,0.36772,1.1923,0.96845,0.99767,1,0.995,0.92222,0.34637,0.81543,1.05623,0.0003368,0.0003368,0.0003368
44,55.0876,0.2889,0.92828,0.953,0.99664,1,0.995,0.92503,0.36359,0.80447,1.08393,0.0002972,0.0002972,0.0002972
45,56.1984,0.28562,0.85283,0.94395,0.99664,1,0.995,0.92503,0.36359,0.80447,1.08393,0.0002576,0.0002576,0.0002576
46,57.3009,0.28901,0.89017,0.96465,0.99664,1,0.995,0.92503,0.36359,0.80447,1.08393,0.000218,0.000218,0.000218
47,58.473,0.27265,0.7695,0.93642,0.99586,1,0.995,0.92102,0.36601,0.83993,1.08648,0.0001784,0.0001784,0.0001784
48,59.5956,0.29485,0.83195,0.94058,0.99586,1,0.995,0.92102,0.36601,0.83993,1.08648,0.0001388,0.0001388,0.0001388
49,60.742,0.26372,0.8221,0.92595,0.99689,1,0.995,0.92448,0.34693,0.82671,1.06887,9.92e-05,9.92e-05,9.92e-05
50,61.8733,0.24736,0.77991,0.87236,0.99689,1,0.995,0.92448,0.34693,0.82671,1.06887,5.96e-05,5.96e-05,5.96e-05
