epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.58055,0.65215,2.41015,1.22397,0.00306,1,0.81879,0.73772,0.29656,2.83275,1.05336,0.0001,0.0001,0.0001
2,4.4717,0.57002,1.98001,1.09528,0.00306,1,0.63873,0.46804,0.35231,2.79639,1.04657,0.000215644,0.000215644,0.000215644
3,6.25854,0.57712,1.42888,1.14439,1,0.4449,0.96479,0.8736,0.42545,2.46132,1.16602,0.000326536,0.000326536,0.000326536
4,8.22406,0.44805,1.06992,0.99992,1,0.42183,0.95831,0.87708,0.44963,2.48863,1.12823,0.000432676,0.000432676,0.000432676
5,10.1211,0.54503,1.0687,1.017,0.74542,0.36364,0.88571,0.80948,0.40339,2.6711,1.07749,0.000534064,0.000534064,0.000534064
6,11.9177,0.52074,1.00776,1.03053,0.98988,1,0.995,0.84382,0.56045,1.66436,1.17731,0.0006307,0.0006307,0.0006307
7,13.7978,0.5019,0.97889,0.99395,0.98592,1,0.995,0.74599,0.51991,1.9464,1.12684,0.000722584,0.000722584,0.000722584
8,15.4114,0.42848,0.78545,0.97234,0.89933,1,0.995,0.65304,0.58443,2.02785,1.16566,0.000809716,0.000809716,0.000809716
9,17.1536,0.57883,1.02781,1.05428,1,0.99769,0.995,0.82506,0.51871,1.63668,1.17672,0.000892096,0.000892096,0.000892096
10,18.7547,0.42497,0.7484,0.9245,0.64589,0.9952,0.881,0.71279,0.61355,1.68242,1.35682,0.000969724,0.000969724,0.000969724
11,20.4505,0.4099,0.81005,0.98237,1,0.72111,0.89711,0.7614,0.76347,1.83232,1.33799,0.0010426,0.0010426,0.0010426
12,22.1939,0.42848,0.73273,0.94487,1,0.97011,0.995,0.78242,0.63059,1.78086,1.17189,0.00111072,0.00111072,0.00111072
13,23.9724,0.47721,0.82365,0.97054,0.99126,1,0.995,0.92975,0.47214,1.38427,1.09215,0.0011741,0.0011741,0.0011741
14,25.7243,0.38913,0.77961,0.97127,0.99232,1,0.995,0.81023,0.65111,1.70879,1.41173,0.00123272,0.00123272,0.00123272
15,27.3692,0.5173,0.83943,1.00794,0.99232,1,0.995,0.81023,0.65111,1.70879,1.41173,0.00128658,0.00128658,0.00128658
16,29.3302,0.48057,0.72331,0.98105,0.99174,1,0.995,0.91482,0.43367,1.55754,1.1156,0.0013357,0.0013357,0.0013357
17,31.048,0.49851,0.79708,1.00478,0.99381,1,0.995,0.86037,0.54905,1.08019,1.26556,0.0013664,0.0013664,0.0013664
18,32.8293,0.46945,0.72485,0.95879,0.99412,1,0.995,0.82406,0.5709,1.20667,1.29198,0.0013268,0.0013268,0.0013268
19,34.4903,0.48631,0.7021,0.95914,0.99412,1,0.995,0.82406,0.5709,1.20667,1.29198,0.0012872,0.0012872,0.0012872
20,36.2047,0.44231,0.67898,0.97848,0.99502,1,0.995,0.62835,0.72731,1.93276,1.47605,0.0012476,0.0012476,0.0012476
21,37.8121,0.39461,0.6161,0.95449,0.99206,1,0.995,0.71752,0.66447,1.4404,1.38298,0.001208,0.001208,0.001208
22,39.8433,0.36081,0.62817,0.96695,0.99316,1,0.995,0.83935,0.57876,1.12431,1.261,0.0011684,0.0011684,0.0011684
23,41.4771,0.48012,0.64611,0.95821,0.99316,1,0.995,0.83935,0.57876,1.12431,1.261,0.0011288,0.0011288,0.0011288
24,43.3274,0.50739,0.72159,1.00259,0.99044,1,0.995,0.90324,0.49426,1.09807,1.17429,0.0010892,0.0010892,0.0010892
25,45.0723,0.46952,0.71169,1.03563,0.9846,1,0.995,0.95255,0.42509,0.9706,1.14528,0.0010496,0.0010496,0.0010496
26,46.8239,0.52059,0.943,1.05618,0.98618,1,0.995,0.91618,0.3935,0.99044,1.11904,0.00101,0.00101,0.00101
27,48.589,0.36842,0.5946,0.93591,0.98618,1,0.995,0.91618,0.3935,0.99044,1.11904,0.0009704,0.0009704,0.0009704
28,50.3116,0.39515,0.60175,0.97671,0.98772,1,0.995,0.91618,0.40052,0.89718,1.09344,0.0009308,0.0009308,0.0009308
29,51.9196,0.43293,0.60114,0.90133,0.99193,1,0.995,0.94002,0.38095,0.81763,1.07666,0.0008912,0.0008912,0.0008912
30,53.5787,0.47809,0.62123,0.94492,0.99261,1,0.995,0.88273,0.49836,0.82246,1.21231,0.0008516,0.0008516,0.0008516
31,55.3665,0.46247,0.61751,0.97132,0.99261,1,0.995,0.88273,0.49836,0.82246,1.21231,0.000812,0.000812,0.000812
32,56.9683,0.39878,0.57461,0.97946,0.99118,1,0.995,0.86459,0.52012,0.95275,1.31303,0.0007724,0.0007724,0.0007724
33,58.7578,0.43967,0.54002,0.93639,0.98633,1,0.995,0.92573,0.44602,0.81531,1.22241,0.0007328,0.0007328,0.0007328
34,60.3499,0.40992,0.49277,0.94759,0.98251,1,0.995,0.97045,0.39345,0.77566,1.13225,0.0006932,0.0006932,0.0006932
35,62.0845,0.41243,0.50903,0.9083,0.98251,1,0.995,0.97045,0.39345,0.77566,1.13225,0.0006536,0.0006536,0.0006536
36,63.8783,0.32155,0.47433,0.93429,0.98798,1,0.995,0.93064,0.32821,0.70807,1.05385,0.000614,0.000614,0.000614
37,65.7332,0.4825,0.59083,1.05129,0.99401,1,0.995,0.96718,0.28688,0.61228,1.01709,0.0005744,0.0005744,0.0005744
38,67.3798,0.34159,0.52972,0.95493,0.99538,1,0.995,0.93647,0.28485,0.58784,1.01026,0.0005348,0.0005348,0.0005348
39,69.2292,0.31682,0.46416,0.94917,0.99538,1,0.995,0.93647,0.28485,0.58784,1.01026,0.0004952,0.0004952,0.0004952
40,70.9364,0.33296,0.47928,0.95578,0.99551,1,0.995,0.93591,0.31042,0.62317,1.03036,0.0004556,0.0004556,0.0004556
41,72.8618,0.2729,0.80139,0.96611,0.99542,1,0.995,0.95415,0.28508,0.66148,1.00866,0.000416,0.000416,0.000416
42,74.3963,0.26545,0.75362,0.89467,0.99541,1,0.995,0.95123,0.26975,0.69851,0.98969,0.0003764,0.0003764,0.0003764
43,75.9605,0.28928,0.69034,0.86129,0.99541,1,0.995,0.95123,0.26975,0.69851,0.98969,0.0003368,0.0003368,0.0003368
44,77.653,0.24895,0.64419,0.90416,0.9953,1,0.995,0.95675,0.25237,0.68632,0.96577,0.0002972,0.0002972,0.0002972
45,79.2748,0.64836,1.15987,1.05994,0.99556,1,0.995,0.96442,0.23801,0.70072,0.9495,0.0002576,0.0002576,0.0002576
46,81.0671,0.22113,2.60583,0.74918,0.9956,1,0.995,0.97373,0.24391,0.73901,0.94896,0.000218,0.000218,0.000218
47,82.8191,0.30124,0.69593,0.87495,0.9956,1,0.995,0.97373,0.24391,0.73901,0.94896,0.0001784,0.0001784,0.0001784
48,84.5636,0.2523,0.64545,0.91386,0.99559,1,0.995,0.98355,0.25051,0.7936,0.95242,0.0001388,0.0001388,0.0001388
49,86.2504,0.26949,0.69502,0.88986,0.99565,1,0.995,0.98436,0.2482,0.8062,0.95164,9.92e-05,9.92e-05,9.92e-05
50,87.9411,0.4679,0.87756,1.04792,0.99561,1,0.995,0.98436,0.25093,0.79881,0.9533,5.96e-05,5.96e-05,5.96e-05
