epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.338,2.07487,3.16093,1.59778,0.64298,0.33188,0.33484,0.14889,2.08355,2.67818,1.68153,0.00041611,0.00041611,0.00041611
2,382.878,2.06881,2.25633,1.6404,0.64508,0.36013,0.36956,0.15997,2.01685,2.03713,1.69673,0.000816287,0.000816287,0.000816287
3,520.21,2.02588,2.0248,1.62094,0.64486,0.40819,0.38453,0.17782,1.98233,1.84456,1.64609,0.00119997,0.00119997,0.00119997
4,653.875,1.98715,1.91006,1.61226,0.51812,0.53166,0.46749,0.21591,1.95075,1.73597,1.62749,0.00117575,0.00117575,0.00117575
5,777.585,1.92178,1.80344,1.5601,0.53995,0.59429,0.4557,0.22141,1.87187,1.78588,1.59099,0.001151,0.001151,0.001151
6,904.44,1.86058,1.68917,1.51762,0.52959,0.66455,0.60308,0.27456,1.94811,1.83234,1.62944,0.00112625,0.00112625,0.00112625
7,1030.74,1.82228,1.6227,1.48299,0.55961,0.73738,0.55842,0.27367,1.86235,2.1963,1.55006,0.0011015,0.0011015,0.0011015
8,1156.01,1.79766,1.57384,1.472,0.63908,0.73437,0.64526,0.33721,1.74559,1.5305,1.44628,0.00107675,0.00107675,0.00107675
9,1280.47,1.78738,1.54632,1.45315,0.59775,0.74455,0.60874,0.32069,1.74459,3.21694,1.46496,0.001052,0.001052,0.001052
10,1406.3,1.76241,1.50622,1.443,0.58822,0.73141,0.65202,0.34256,1.72046,1.90255,1.4457,0.00102725,0.00102725,0.00102725
11,1540.42,1.74018,1.4834,1.43317,0.6276,0.76162,0.6707,0.34082,1.72573,2.00584,1.46135,0.0010025,0.0010025,0.0010025
12,1677.29,1.71351,1.44958,1.42315,0.63054,0.76193,0.69242,0.35635,1.67446,1.90277,1.43365,0.00097775,0.00097775,0.00097775
13,1805.43,1.69334,1.40865,1.40755,0.60681,0.76515,0.78048,0.42997,1.63076,1.51721,1.40483,0.000953,0.000953,0.000953
14,1940.31,1.68725,1.39008,1.39163,0.62044,0.75894,0.73927,0.3771,1.69246,2.10897,1.40823,0.00092825,0.00092825,0.00092825
